1552917259
= Start time (s)
'Reltime', '44.00[A]', '28.00[A]', '4.00[A]'
5.923400000000000176e+01 1.024660933358900738e-12 2.850122481773409433e-12 8.502305982741389934e-14
6.064000000000000057e+01 1.090181113785892997e-12 2.793703202802477747e-12 8.742652597964334360e-14
6.206199999999999761e+01 1.097461422953915910e-12 2.764582616651689584e-12 8.006768669301458918e-14
6.346900000000000119e+01 1.026026160734494486e-12 2.724542379900496414e-12 8.628206249515837922e-14
6.487500000000000000e+01 1.006460973590472818e-12 2.839202614332569929e-12 8.361081873511574947e-14
6.628100000000000591e+01 1.024661041779117987e-12 2.921103029601690437e-12 7.469106713328677039e-14
6.770300000000000296e+01 1.010101182384592899e-12 2.910183162160850934e-12 7.819705169845314607e-14
6.910899999999999466e+01 1.075621145971150661e-12 2.632261596191565189e-12 8.484323134458002236e-14
7.053100000000000591e+01 1.101101089646949749e-12 2.880658602280594671e-12 8.778582380334146174e-14
7.193699999999999761e+01 1.130221025276434421e-12 2.928855075134961794e-12 8.065135338004500443e-14
7.334399999999999409e+01 1.084721288485690494e-12 2.813722995917422587e-12 8.004291267337329541e-14
7.475000000000000000e+01 1.041041059780811739e-12 2.780558335663263492e-12 7.741325484290906278e-14
7.617199999999999704e+01 9.809809214944564815e-13 2.901082802805876604e-12 8.145349358109482685e-14
7.757800000000000296e+01 1.066521111876828076e-12 2.677222809763235567e-12 8.726197797117793420e-14
7.900000000000000000e+01 9.755213130346884753e-13 2.804656897351098799e-12 8.196547417573321614e-14
8.040600000000000591e+01 1.039220792753425826e-12 2.706409749086979843e-12 8.050129979937301061e-14
8.181199999999999761e+01 1.024238636612717634e-12 2.546992131091663225e-12 8.366032611681686881e-14
8.321899999999999409e+01 1.124761199976231918e-12 2.808263387457654581e-12 8.170503526137504191e-14
8.462500000000000000e+01 9.991808812628844017e-13 2.677222376082366573e-12 8.494845994168331860e-14
8.604699999999999704e+01 1.119301049415377669e-12 2.912171805785623846e-12 8.319344155629029847e-14
8.745300000000000296e+01 1.122941041369063253e-12 2.708163120840323401e-12 8.321442764459147101e-14
8.885899999999999466e+01 1.066521111876828076e-12 2.937482939183166941e-12 8.383385945078675183e-14
9.026500000000000057e+01 1.099281256300432830e-12 2.617162779897097558e-12 8.320588277621956963e-14
9.168699999999999761e+01 1.186641171609104095e-12 2.849145615615999994e-12 9.476053026025860193e-14
9.309399999999999409e+01 9.391208513967463922e-13 2.939977254701187093e-12 9.222088831516497831e-14
9.450000000000000000e+01 1.019201108058698235e-12 2.784603060287937915e-12 8.128323318243313444e-14
9.590600000000000591e+01 1.031940917266271907e-12 2.682683068744307064e-12 8.543860741507328105e-14
9.731199999999999761e+01 9.555008693984401447e-13 2.850122698613843930e-12 8.975515507691697592e-14
9.873399999999999466e+01 1.073800987363981996e-12 2.828282963732164923e-12 7.579887780807814668e-14
1.001400000000000006e+02 1.055601027595554076e-12 3.080858918674822533e-12 7.764890618509878717e-14
1.015469999999999970e+02 1.115661165881909334e-12 2.888342993598302932e-12 7.694574686613331327e-14
1.029530000000000030e+02 1.208481231751434848e-12 2.804656463670229805e-12 7.755587486243595285e-14
1.043750000000000000e+02 9.955409977294160662e-13 2.966603308493520608e-12 8.551302434168725486e-14
1.057810000000000059e+02 1.026481091966069403e-12 2.658214360434785206e-12 8.942108528251987987e-14
1.072030000000000030e+02 1.048320826847748410e-12 2.776850797914232061e-12 8.935828287167865702e-14
1.086089999999999947e+02 1.055600919175336827e-12 2.878805267086947950e-12 8.729028242414338390e-14
1.100150000000000006e+02 1.011920907310892570e-12 2.667482337445625795e-12 9.073429805888863497e-14
1.114219999999999970e+02 1.133861342490771751e-12 2.650799068096287847e-12 8.610845462228913783e-14
1.128439999999999941e+02 1.150241035231813758e-12 2.717262829673994240e-12 8.005519803924027178e-14
1.142500000000000000e+02 1.041041059780811739e-12 2.913823045694319269e-12 8.027855046303586373e-14
1.156560000000000059e+02 1.009938552058720074e-12 2.867682653839853657e-12 8.836598716210203319e-14
1.170780000000000030e+02 1.050141202295351572e-12 2.728182913955268241e-12 8.087394008605627849e-14
1.184839999999999947e+02 1.055601027595554076e-12 2.786423218895106579e-12 8.732740957228743439e-14
1.198900000000000006e+02 1.197561147470160847e-12 2.800949142761632871e-12 8.776098202106438761e-14
1.212969999999999970e+02 1.124761091556014669e-12 2.835562730799101594e-12 8.971791950855567688e-14
1.227189999999999941e+02 9.300210341428583050e-13 2.558113876977019530e-12 8.309423028124429678e-14
1.241400000000000006e+02 1.086541121832207413e-12 2.833742789032367426e-12 7.973274953687950473e-14
1.255619999999999976e+02 9.741888285647037904e-13 2.674896979262819663e-12 8.362761031626211872e-14
1.269689999999999941e+02 1.053781194249037156e-12 2.906610716002511197e-12 8.215882808066884979e-14
1.283750000000000000e+02 1.095641155926529997e-12 2.888342559917433938e-12 8.494242906709886798e-14
1.297969999999999970e+02 1.135681175837288670e-12 2.788242726980971753e-12 8.257018793743700624e-14
1.312189999999999941e+02 1.033761184293657820e-12 2.687872927703560677e-12 8.646808448290257965e-14
1.326250000000000000e+02 1.148421093465079590e-12 2.715679243980861912e-12 8.131884244753570523e-14
1.340469999999999970e+02 1.039221009593860323e-12 2.871963084016826429e-12 8.040219016828067944e-14
1.354530000000000030e+02 8.972609439293621758e-13 2.838023436049774695e-12 6.829850270409498769e-14
1.368590000000000089e+02 1.124761199976231918e-12 2.744562389855875750e-12 8.092352200665675621e-14
1.382649999999999864e+02 1.070160995410296412e-12 2.731823448010040067e-12 8.568665931961080839e-14
1.396870000000000118e+02 9.902761119798264566e-13 2.771863034239929746e-12 7.531696349493549603e-14
1.410939999999999941e+02 1.079261246345053493e-12 2.617163213577966552e-12 7.980717323975705657e-14
1.425000000000000000e+02 1.055601027595554076e-12 2.649922382219616068e-12 8.521499071699814576e-14
1.439060000000000059e+02 1.150241252072248255e-12 2.742742664929576080e-12 7.798639121633921256e-14
1.453120000000000118e+02 1.130221025276434421e-12 2.895622977505674100e-12 7.763652595154171832e-14
1.467340000000000089e+02 1.053781085828819908e-12 2.624847171214805819e-12 8.077388177806302250e-14
1.481399999999999864e+02 1.144781318351828503e-12 2.917463362908656599e-12 9.054902146013801834e-14
1.495469999999999970e+02 1.055601027595554076e-12 2.708263517961495559e-12 7.856864166428181862e-14
1.509530000000000030e+02 1.106560914947152252e-12 2.992083143749102447e-12 8.362319896867281832e-14
1.523590000000000089e+02 1.188461330216272760e-12 2.793534284104004506e-12 7.658646937122592924e-14
1.537810000000000059e+02 1.157521019139184926e-12 2.901083236486745598e-12 7.740084072803410375e-14
1.551870000000000118e+02 1.033176257221601890e-12 2.817362879450890922e-12 8.186405383876077524e-14
1.565939999999999941e+02 1.026480875125634906e-12 2.893802818898505436e-12 8.592231066180053278e-14
1.580000000000000000e+02 1.056413528703614713e-12 2.684503010511041232e-12 7.767674985214093053e-14
1.594219999999999970e+02 1.088360955178724332e-12 2.822823138431962420e-12 8.502931431869642509e-14
1.608280000000000030e+02 1.199381306077329512e-12 2.597142986782152718e-12 8.017935951678059614e-14
1.622340000000000089e+02 1.175720978907612846e-12 2.762021297439409828e-12 7.822406866133876924e-14
1.636399999999999864e+02 1.075621145971150661e-12 3.021540266254230112e-12 7.996837377401491698e-14
1.650469999999999970e+02 1.092000838712192667e-12 2.753663399732153572e-12 8.553787290022790701e-14
1.664689999999999941e+02 1.166621378494159256e-12 2.673582492548898237e-12 7.747845605105690980e-14
1.678750000000000000e+02 1.019201216478915484e-12 2.859222624287949266e-12 8.281793491011352204e-14
1.692810000000000059e+02 1.057421294622939989e-12 2.621139633465774388e-12 8.956909920785488533e-14
