ASCII SAMPLE CYCLES :			3.mdc
DATE :	2/22/2019	TIME :	2:52:35 PM
CONVERTED CYCLES :			184
Number of stored cycles			184
Printed start cycle			1
Printed end cycle			184
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	2.4506E-010	max:	2.52616E-010	
'0/1'	44.00	min:	6.1708E-012	max:	7.24187E-012	
'0/2'	28.00	min:	7.35579E-012	max:	7.6642E-012	
'0/3'	32.00	min:	4.26812E-010	max:	4.36926E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
53	2/22/2019	2:54:55:53 PM	140.531	2.4988E-010	6.73859E-012	7.42875E-012	4.32542E-010	
54	2/22/2019	2:54:57:98 PM	142.984	2.50992E-010	6.31075E-012	7.42369E-012	4.33838E-010	
55	2/22/2019	2:55:00:42 PM	145.421	2.51177E-010	6.39992E-012	7.45772E-012	4.33287E-010	
56	2/22/2019	2:55:02:87 PM	147.875	2.51548E-010	6.50558E-012	7.45012E-012	4.32706E-010	
57	2/22/2019	2:55:05:32 PM	150.328	2.50614E-010	6.62014E-012	7.41489E-012	4.33676E-010	
58	2/22/2019	2:55:07:78 PM	152.781	2.5025E-010	6.60698E-012	7.38523E-012	4.3293E-010	
59	2/22/2019	2:55:10:23 PM	155.234	2.49704E-010	6.54006E-012	7.39049E-012	4.32109E-010	
60	2/22/2019	3:02:23:17 PM	588.171	2.4747E-010	6.41475E-012	7.48551E-012	4.29586E-010	
61	2/22/2019	3:02:25:62 PM	590.625	2.4784E-010	6.54136E-012	7.48115E-012	4.30505E-010	
62	2/22/2019	3:02:28:07 PM	593.078	2.49694E-010	6.42068E-012	7.47486E-012	4.29759E-010	
63	2/22/2019	3:02:30:53 PM	595.531	2.49158E-010	6.51596E-012	7.43493E-012	4.2981E-010	
64	2/22/2019	3:02:32:98 PM	597.984	2.49138E-010	6.81459E-012	7.46906E-012	4.30257E-010	
65	2/22/2019	3:02:35:43 PM	600.437	2.48794E-010	6.6587E-012	7.46141E-012	4.31026E-010	
66	2/22/2019	3:02:37:87 PM	602.875	2.49158E-010	6.53635E-012	7.45546E-012	4.30977E-010	
67	2/22/2019	3:02:40:32 PM	605.328	2.4843E-010	6.99681E-012	7.46735E-012	4.30841E-010	
68	2/22/2019	3:02:42:78 PM	607.781	2.48953E-010	6.69132E-012	7.47756E-012	4.30331E-010	
69	2/22/2019	3:02:45:23 PM	610.234	2.48999E-010	6.44608E-012	7.46954E-012	4.3048E-010	
70	2/22/2019	3:02:47:70 PM	612.703	2.48582E-010	6.53116E-012	7.3989E-012	4.31103E-010	
71	2/22/2019	3:02:50:14 PM	615.14	2.48463E-010	6.57046E-012	7.49348E-012	4.31637E-010	
72	2/22/2019	3:02:52:59 PM	617.593	2.48999E-010	6.5814E-012	7.55053E-012	4.31326E-010	
73	2/22/2019	3:02:55:04 PM	620.046	2.48143E-010	6.36247E-012	7.43244E-012	4.3109E-010	
74	2/22/2019	3:02:57:50 PM	622.5	2.49138E-010	6.70133E-012	7.4576E-012	4.3079E-010	
75	2/22/2019	3:02:59:95 PM	624.953	2.49416E-010	6.82015E-012	7.44022E-012	4.29525E-010	
76	2/22/2019	3:03:02:40 PM	627.406	2.47655E-010	6.80162E-012	7.45104E-012	4.30928E-010	
77	2/22/2019	3:03:04:85 PM	629.859	2.4988E-010	6.44051E-012	7.47839E-012	4.31999E-010	
78	2/22/2019	3:03:07:29 PM	632.296	2.47884E-010	6.7156E-012	7.50156E-012	4.31487E-010	
79	2/22/2019	3:03:09:75 PM	634.75	2.51006E-010	6.28202E-012	7.46314E-012	4.31935E-010	
80	2/22/2019	3:03:12:20 PM	637.203	2.48026E-010	6.63905E-012	7.41308E-012	4.32806E-010	
81	2/22/2019	3:03:14:65 PM	639.656	2.48767E-010	6.91933E-012	7.47042E-012	4.31475E-010	
82	2/22/2019	3:03:17:10 PM	642.109	2.49509E-010	6.63386E-012	7.48189E-012	4.31985E-010	
83	2/22/2019	3:03:19:54 PM	644.546	2.48582E-010	6.9666E-012	7.47899E-012	4.31861E-010	
84	2/22/2019	3:03:22:00 PM	647	2.50078E-010	6.70207E-012	7.44175E-012	4.31985E-010	
85	2/22/2019	3:03:24:45 PM	649.453	2.51144E-010	6.65703E-012	7.43537E-012	4.32517E-010	
86	2/22/2019	3:03:26:90 PM	651.906	2.49323E-010	6.30631E-012	7.5117E-012	4.32173E-010	
87	2/22/2019	3:03:29:34 PM	654.343	2.49704E-010	6.57083E-012	7.42374E-012	4.32669E-010	
88	2/22/2019	3:03:31:81 PM	656.812	2.49357E-010	6.5662E-012	7.44277E-012	4.32557E-010	
