ASCII SAMPLE CYCLES :			ar_o2_co2_co_disc.mdc
DATE :	2/25/2019	TIME :	10:43:51 AM
CONVERTED CYCLES :			3372
Number of stored cycles			3372
Printed start cycle			1
Printed end cycle			3372
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	3.09977E-010	max:	3.14889E-010	
'0/1'	44.00	min:	5.34979E-012	max:	5.72313E-012	
'0/2'	28.00	min:	7.61571E-012	max:	7.76286E-012	
'0/3'	32.00	min:	4.99929E-010	max:	5.04661E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
52	2/25/2019	11:01:17:21 AM	1046.22	2.8712E-010	5.96745E-012	7.379E-012	4.68374E-010	
53	2/25/2019	11:01:19:67 AM	1048.67	2.87703E-010	5.93427E-012	7.32953E-012	4.67932E-010	
54	2/25/2019	11:01:22:12 AM	1051.12	2.86657E-010	5.89441E-012	7.30198E-012	4.6833E-010	
55	2/25/2019	11:01:24:56 AM	1053.56	2.88121E-010	5.76836E-012	7.37941E-012	4.67779E-010	
56	2/25/2019	11:01:27:01 AM	1056.02	2.884E-010	6.1556E-012	7.37255E-012	4.6771E-010	
57	2/25/2019	11:01:29:46 AM	1058.47	2.85871E-010	5.69291E-012	7.31285E-012	4.67281E-010	
58	2/25/2019	11:01:31:92 AM	1060.92	2.87046E-010	5.88904E-012	7.37857E-012	4.66959E-010	
59	2/25/2019	11:01:34:36 AM	1063.36	2.85452E-010	5.96559E-012	7.30338E-012	4.68344E-010	
60	2/25/2019	11:01:36:81 AM	1065.81	2.87584E-010	5.91165E-012	7.31457E-012	4.68171E-010	
61	2/25/2019	11:01:39:26 AM	1068.27	2.87102E-010	5.91684E-012	7.3451E-012	4.67038E-010	
62	2/25/2019	11:01:41:71 AM	1070.72	2.85471E-010	5.93334E-012	7.35799E-012	4.67638E-010	
63	2/25/2019	11:01:44:15 AM	1073.16	2.8523E-010	5.8034E-012	7.35205E-012	4.68293E-010	
64	2/25/2019	11:01:46:61 AM	1075.61	2.86101E-010	5.89775E-012	7.37739E-012	4.68499E-010	
65	2/25/2019	11:01:49:07 AM	1078.08	2.8623E-010	5.86031E-012	7.3061E-012	4.67057E-010	
66	2/25/2019	11:06:03:11 AM	1332.11	2.79724E-010	5.86438E-012	7.26329E-012	4.57315E-010	
67	2/25/2019	11:06:05:56 AM	1334.56	2.79428E-010	5.65399E-012	7.29682E-012	4.58586E-010	
68	2/25/2019	11:06:08:01 AM	1337.02	2.81244E-010	5.86587E-012	7.23563E-012	4.588E-010	
69	2/25/2019	11:06:10:48 AM	1339.48	2.80558E-010	6.17488E-012	7.30431E-012	4.58646E-010	
70	2/25/2019	11:06:12:92 AM	1341.92	2.82913E-010	5.95855E-012	7.26154E-012	4.606E-010	
71	2/25/2019	11:06:15:37 AM	1344.37	2.82023E-010	5.72535E-012	7.34657E-012	4.61448E-010	
72	2/25/2019	11:06:17:82 AM	1346.83	2.82523E-010	5.68568E-012	7.33078E-012	4.61388E-010	
73	2/25/2019	11:06:20:28 AM	1349.28	2.81949E-010	5.97913E-012	7.33761E-012	4.59394E-010	
74	2/25/2019	11:06:22:71 AM	1351.72	2.79502E-010	5.58762E-012	7.26722E-012	4.59948E-010	
75	2/25/2019	11:06:25:17 AM	1354.17	2.80948E-010	5.86327E-012	7.33507E-012	4.60885E-010	
76	2/25/2019	11:06:27:62 AM	1356.62	2.82078E-010	5.72795E-012	7.29969E-012	4.5947E-010	
77	2/25/2019	11:06:30:07 AM	1359.08	2.81485E-010	5.86976E-012	7.29866E-012	4.61344E-010	
78	2/25/2019	11:14:09:15 AM	1818.16	2.73329E-010	5.87328E-012	7.17324E-012	4.46797E-010	
79	2/25/2019	11:14:11:61 AM	1820.61	2.72513E-010	6.01806E-012	7.20312E-012	4.48848E-010	
80	2/25/2019	11:14:14:06 AM	1823.06	2.74182E-010	6.03066E-012	7.20371E-012	4.49306E-010	
81	2/25/2019	11:14:16:51 AM	1825.52	2.73755E-010	6.14077E-012	7.18725E-012	4.49909E-010	
82	2/25/2019	11:14:18:96 AM	1827.97	2.742E-010	5.99563E-012	7.24714E-012	4.50133E-010	
83	2/25/2019	11:14:21:42 AM	1830.42	2.73607E-010	6.11018E-012	7.24079E-012	4.48827E-010	
84	2/25/2019	11:14:23:87 AM	1832.87	2.74029E-010	6.07311E-012	7.19688E-012	4.49108E-010	
85	2/25/2019	11:14:26:31 AM	1835.31	2.74404E-010	5.91981E-012	7.19601E-012	4.48607E-010	
86	2/25/2019	11:14:28:76 AM	1837.77	2.73403E-010	6.01639E-012	7.20532E-012	4.52281E-010	
87	2/25/2019	11:14:31:21 AM	1840.22	2.72921E-010	5.98636E-012	7.23174E-012	4.51471E-010	
