Start time (s) =
1552988426
'Reltime', '44.00[A]', '28.00[A]', '4.00[A]'
6.353199999999999648e+01 1.707161864129835838e-12 3.484966655531440693e-12 1.118962778337562192e-13
6.493800000000000239e+01 1.778141761436813351e-12 3.622140564915610206e-12 1.180336075190177580e-13
6.634399999999999409e+01 1.749021717387111430e-12 3.594335549680915953e-12 1.081875000284900079e-13
6.775000000000000000e+01 1.590681687931028154e-12 3.633262744481835504e-12 1.189527534632695005e-13
6.917199999999999704e+01 1.590681796351245403e-12 3.533163128385807816e-12 1.139428856171756377e-13
7.057800000000000296e+01 1.830921915815797441e-12 3.405257629693347887e-12 1.191649995910606941e-13
7.200000000000000000e+01 1.774501877903345015e-12 3.520186746264197808e-12 1.212239943843007595e-13
7.340699999999999648e+01 1.805441972139998352e-12 3.545363221751918203e-12 1.183690596711847731e-13
7.481300000000000239e+01 1.792701946091990184e-12 3.464575631592636817e-12 1.203436357727696859e-13
7.621899999999999409e+01 1.823642148748860770e-12 3.618433894528316763e-12 1.158355366921021146e-13
7.764100000000000534e+01 1.820001831534523440e-12 3.596188668034128177e-12 1.198223920258201236e-13
7.904699999999999704e+01 1.869141560278952952e-12 3.572090756867596362e-12 1.293363474045433614e-13
8.045300000000000296e+01 1.692601462634224507e-12 3.646238259241707524e-12 1.075516967694901960e-13
8.187500000000000000e+01 1.798161771392192687e-12 3.589043992557883200e-12 1.127894097021318875e-13
8.328199999999999648e+01 1.856401967911813777e-12 3.675898561233958972e-12 1.157663781460246955e-13
8.468800000000000239e+01 1.849122200844877106e-12 3.649947531714214932e-12 1.164237841333112811e-13
8.609399999999999409e+01 1.610701481045972994e-12 3.472563599518641020e-12 1.093038081378082393e-13
8.751600000000000534e+01 1.887341845308032617e-12 3.605457295566272258e-12 1.121939319876849583e-13
8.892199999999999704e+01 1.830921915815797441e-12 3.581359601240174939e-12 1.181828072904789195e-13
9.034399999999999409e+01 1.801801980186312768e-12 3.447892579083733366e-12 1.138436811183932140e-13
9.175000000000000000e+01 1.660920533053111825e-12 3.573944308901677580e-12 1.077410120213333211e-13
9.315699999999999648e+01 1.816362056421272353e-12 3.453453452026411519e-12 1.155803155006990268e-13
9.457800000000000296e+01 1.628901766075052659e-12 3.556283739714061198e-12 1.214133909513068210e-13
9.600000000000000000e+01 1.932841690518993794e-12 3.751900266163454845e-12 1.161210613342261722e-13
9.742199999999999704e+01 1.576121611696068570e-12 3.685503725120442553e-12 1.135335925207987817e-13
9.882800000000000296e+01 1.836381957956434441e-12 3.439803563515253515e-12 1.181703254129681802e-13
1.002349999999999994e+02 1.692601571054441756e-12 3.550823914413858695e-12 1.246226700394453824e-13
1.016410000000000053e+02 1.630721816262004076e-12 3.549846180894711267e-12 1.188920652466646244e-13
1.030630000000000024e+02 1.710801639243086925e-12 3.386720157788625230e-12 1.147367248953423680e-13
1.044689999999999941e+02 1.758121968321868511e-12 3.614725055736678350e-12 1.162004655908335793e-13
1.058750000000000000e+02 1.650741717797166164e-12 3.528983529010876197e-12 7.188182883123561684e-13
1.072969999999999970e+02 2.133985696484153038e-11 1.182293325741046175e-11 1.463157286302196880e-12
1.087030000000000030e+02 2.147888637782369159e-11 1.239016788473490394e-11 1.438660063475538653e-12
1.101099999999999994e+02 2.177177362006066375e-11 1.254031774255981446e-11 1.400362681716615931e-12
1.115160000000000053e+02 2.197938879511251997e-11 1.294442591309730162e-11 1.422362336418736550e-12
1.129380000000000024e+02 2.258554801515266774e-11 1.291106024176036371e-11 1.377186992918000286e-12
1.143599999999999994e+02 2.295072638880402138e-11 1.312794404434436402e-11 1.364343100301868006e-12
1.157660000000000053e+02 2.304341266412546219e-11 1.339673250805306637e-11 1.370615318289913898e-12
1.171880000000000024e+02 2.251888085724740307e-11 1.351907648328154465e-11 1.429624647830696205e-12
1.185939999999999941e+02 2.338820803693408834e-11 1.386942383857503458e-11 1.393668058562169687e-12
