Start time (s) =
1553511794
'Reltime', 'DEFAU[mV]', '2.00[A]', '28.00[A]', '18.00[A]'
0.000000000000000000e+00 1.682968750000000000e+03 6.653894449315522763e-12 8.696352665760187506e-12 8.114905448997067339e-12
8.900000000000000133e-01 1.682343750000000000e+03 6.179016933532954781e-12 8.759377771727638873e-12 7.920803769823070439e-12
1.765000000000000124e+00 1.682343750000000000e+03 6.119082671118825090e-12 8.806957767226730738e-12 7.830671007458267496e-12
2.656000000000000139e+00 1.682500000000000000e+03 6.271705377258740555e-12 8.593260651668099825e-12 7.824391308475231455e-12
3.531000000000000139e+00 1.682656250000000000e+03 6.062234048087589144e-12 8.323663806819592281e-12 7.727480114128049138e-12
4.421999999999999709e+00 1.682343750000000000e+03 6.540490371520490953e-12 8.531227807528907192e-12 7.721301896468357739e-12
5.296999999999999709e+00 1.682968750000000000e+03 6.360063951188488218e-12 8.629000292081911994e-12 7.754381338431759474e-12
6.187000000000000277e+00 1.682656250000000000e+03 6.638121909791072639e-12 8.699495984698657480e-12 7.826844207470262660e-12
7.062000000000000277e+00 1.682968750000000000e+03 6.486733893085183666e-12 8.550879622426510451e-12 8.017276079130830624e-12
7.937000000000000277e+00 1.683593750000000000e+03 6.519482870226411819e-12 8.440958002009502081e-12 7.671871818382136610e-12
8.827999999999999403e+00 1.682500000000000000e+03 6.673340265800353777e-12 8.342086570134465973e-12 7.650859112917629545e-12
9.718999999999999417e+00 1.682968750000000000e+03 6.347088653269050695e-12 8.560092738807423274e-12 8.077210775225829309e-12
1.059399999999999942e+01 1.682343750000000000e+03 6.807426584237719069e-12 8.628870187821213733e-12 7.850792932417860470e-12
1.146899999999999942e+01 1.682500000000000000e+03 6.192612828775923006e-12 8.826004163631218091e-12 7.869599069620925036e-12
1.235899999999999999e+01 1.683281250000000000e+03 6.586955373505398725e-12 8.387527651587678434e-12 7.686080938373862637e-12
1.323399999999999999e+01 1.682812500000000000e+03 6.141944591808723430e-12 8.513423473133219233e-12 7.958881817482499343e-12
1.410899999999999999e+01 1.683125000000000000e+03 6.466341784944207305e-12 8.506667592556027557e-12 7.958878348035547390e-12
1.500000000000000000e+01 1.682656250000000000e+03 6.319899464868328209e-12 8.507891439968329195e-12 7.882732661057545442e-12
1.587500000000000000e+01 1.682656250000000000e+03 6.059764235538667165e-12 8.679054003257746785e-12 8.011099596194615202e-12
1.675000000000000000e+01 1.682968750000000000e+03 6.177781376737190300e-12 7.992043658811009976e-12 7.631559446885649578e-12
1.764000000000000057e+01 1.682968750000000000e+03 6.206207422976284249e-12 8.530003092754867566e-12 7.559410562796298194e-12
1.851500000000000057e+01 1.682656250000000000e+03 6.074594386534792889e-12 8.433586294598338640e-12 8.100073563277465638e-12
1.940599999999999881e+01 1.682343750000000000e+03 6.161098541068721346e-12 8.366648519830821584e-12 7.790509556904190447e-12
2.029700000000000060e+01 1.682656250000000000e+03 6.736983800686990875e-12 8.587602851051201469e-12 7.960108266980014946e-12
2.117200000000000060e+01 1.682343750000000000e+03 6.099928721858827174e-12 8.762133379969228031e-12 7.797300999312639647e-12
2.204700000000000060e+01 1.682500000000000000e+03 6.440391189105332259e-12 8.703797231557341973e-12 7.907903498693968913e-12
2.293700000000000117e+01 1.682343750000000000e+03 6.197555489639849924e-12 8.550525738837411183e-12 7.845881930257370129e-12
2.381200000000000117e+01 1.682812500000000000e+03 6.627615557058819107e-12 8.794596995098657999e-12 8.111790752995950982e-12
2.470299999999999940e+01 1.682656250000000000e+03 6.635648194114329712e-12 8.446097987668821361e-12 7.797980143553484567e-12
2.559400000000000119e+01 1.682812500000000000e+03 6.232612516365865218e-12 8.567464446218586716e-12 7.949053741629352743e-12
2.646900000000000119e+01 1.682500000000000000e+03 6.337200729455982895e-12 8.550525738837411183e-12 7.651822751808534662e-12
2.734400000000000119e+01 1.683750000000000000e+03 6.377364348414404915e-12 8.713650460900890238e-12 7.759907300064483593e-12
2.823400000000000176e+01 1.682343750000000000e+03 6.336584035260273140e-12 8.628380995800988273e-12 7.693495146510187510e-12
2.910900000000000176e+01 1.684218750000000000e+03 6.145650828515147879e-12 8.483173365159135670e-12 7.691130718412431122e-12
2.998400000000000176e+01 1.682500000000000000e+03 6.359118960574949853e-12 8.493159300848596160e-12 7.788157271870765896e-12
3.087500000000000000e+01 1.688750000000000000e+03 6.380454758286857597e-12 8.606153983903297444e-12 7.936948841213986583e-12
3.175000000000000000e+01 1.682500000000000000e+03 6.052348726359735309e-12 8.330554995827910147e-12 7.927560517762000103e-12
3.262500000000000000e+01 1.683593750000000000e+03 6.282207826863173139e-12 8.446484831003964189e-12 7.774643775992906569e-12
3.350000000000000000e+01 1.682968750000000000e+03 6.250077278641130718e-12 8.402268464324791353e-12 7.995035189445331980e-12
