Start time (s) =
1553515705
'Reltime', 'DEFAU[mV]', '2.00[A]', '28.00[A]', '18.00[A]'
0.000000000000000000e+00 1.682656250000000000e+03 7.293714243683524501e-12 8.260108742830230000e-12 7.978527560847936684e-12
8.910000000000000142e-01 1.683125000000000000e+03 7.420382017175874978e-12 8.054968150816854688e-12 7.561262380106903436e-12
1.766000000000000014e+00 1.682343750000000000e+03 7.683758143639529692e-12 8.055584845012564443e-12 7.416621136679957260e-12
2.656000000000000139e+00 1.682500000000000000e+03 7.610063620933082973e-12 7.922032821405800007e-12 7.493998477325902741e-12
3.531000000000000139e+00 1.684375000000000000e+03 7.606378200908370246e-12 8.372572600501282380e-12 7.853528591339475895e-12
4.405999999999999694e+00 1.683437500000000000e+03 7.391960307745470971e-12 7.983292846236444973e-12 7.661034133465971507e-12
5.296999999999999709e+00 1.683750000000000000e+03 7.738605763141226390e-12 8.171976983994966304e-12 7.458377665470194984e-12
6.187999999999999723e+00 1.682500000000000000e+03 7.524089858101934425e-12 8.037048457310014271e-12 7.658274188415692407e-12
7.062999999999999723e+00 1.684531250000000000e+03 7.433977912418843204e-12 7.906056018192053614e-12 7.326346994351862207e-12
7.953000000000000291e+00 1.683125000000000000e+03 7.608831967265139440e-12 8.123461972542322940e-12 7.686697632569572392e-12
8.827999999999999403e+00 1.682812500000000000e+03 7.608841508244257312e-12 7.952400023214512004e-12 7.417911770946084005e-12
9.718999999999999417e+00 1.682656250000000000e+03 7.966246585999758878e-12 8.039327883957447796e-12 7.852911897143766140e-12
1.059399999999999942e+01 1.682656250000000000e+03 7.569911711358123796e-12 8.158158176785335058e-12 7.652713532313448752e-12
1.146899999999999942e+01 1.683437500000000000e+03 7.431505931465576253e-12 8.112410049276874702e-12 7.714506984612956586e-12
1.234399999999999942e+01 1.682656250000000000e+03 7.374247046332271793e-12 8.111815906486352645e-12 7.826233584806718824e-12
1.323399999999999999e+01 1.683125000000000000e+03 7.786182289193366302e-12 7.995649281555827770e-12 7.484784493583251930e-12
1.412500000000000000e+01 1.688437500000000000e+03 7.944755964217620203e-12 8.147036864580847748e-12 7.404936039345777488e-12
1.501600000000000001e+01 1.684218750000000000e+03 7.776487787047869915e-12 7.979585742168282536e-12 7.136148442998813124e-12
1.590600000000000058e+01 1.683906250000000000e+03 7.418459943564492676e-12 8.175456839287775779e-12 7.417233494066977073e-12
1.678099999999999881e+01 1.683125000000000000e+03 7.692968657935228549e-12 8.137150675491255924e-12 7.834374642079477979e-12
1.767200000000000060e+01 1.684687500000000000e+03 7.661647358214729309e-12 7.907908702864396844e-12 7.817074244853561282e-12
1.854700000000000060e+01 1.683593750000000000e+03 7.373014525302590272e-12 8.080920481379205711e-12 7.788033239142233555e-12
1.943799999999999883e+01 1.683281250000000000e+03 7.670016531624579414e-12 8.066963763653234309e-12 7.470433126266495805e-12
2.031299999999999883e+01 1.684687500000000000e+03 7.447325742204746746e-12 8.179165678079414192e-12 7.534074926429656927e-12
2.120299999999999940e+01 1.683750000000000000e+03 7.571374950610110233e-12 8.150743968649010185e-12 7.887516161042551488e-12
2.209400000000000119e+01 1.682812500000000000e+03 7.511808015892018631e-12 7.777531223218669965e-12 7.403080752588220292e-12
2.296900000000000119e+01 1.683906250000000000e+03 7.573003855954052455e-12 8.139005094887075131e-12 7.550498420938467348e-12
2.384400000000000119e+01 1.682656250000000000e+03 7.417847586177472863e-12 7.919030015068884154e-12 7.621201413010592063e-12
2.473400000000000176e+01 1.682343750000000000e+03 7.710799880544794149e-12 7.985143796185312226e-12 7.629853346347026388e-12
2.560900000000000176e+01 1.683281250000000000e+03 7.340468510808051406e-12 8.102581106061990113e-12 7.641999012764078003e-12
2.648400000000000176e+01 1.682500000000000000e+03 7.212734749739713180e-12 8.025308716186341229e-12 7.975259341819196379e-12
2.737500000000000000e+01 1.683437500000000000e+03 7.637269289206827239e-12 8.086482004843187354e-12 7.668162979590498196e-12
2.825000000000000000e+01 1.682656250000000000e+03 7.192996198668311081e-12 7.883812526421341005e-12 7.832526294215824691e-12
2.912500000000000000e+01 1.682656250000000000e+03 7.467967216845394773e-12 7.885046782174498503e-12 7.644451044397371220e-12
3.000000000000000000e+01 1.682812500000000000e+03 7.673316843037625290e-12 8.048791667880639267e-12 7.656423238466825154e-12
3.089099999999999824e+01 1.683281250000000000e+03 7.479081590155978176e-12 7.915322911000721717e-12 7.842409881220202550e-12
3.176599999999999824e+01 1.682812500000000000e+03 7.661033266104233519e-12 7.916557166753879216e-12 7.732427545481534992e-12
3.265599999999999881e+01 1.682500000000000000e+03 7.303622116816566034e-12 8.117318449352151077e-12 7.642209781666409185e-12
3.353099999999999881e+01 1.682500000000000000e+03 7.625418525780691681e-12 7.874745994174148223e-12 7.609448661460849195e-12
3.442199999999999704e+01 1.682656250000000000e+03 7.799775582351120562e-12 7.980821732644916011e-12 7.527280881935993762e-12
3.531300000000000239e+01 1.682500000000000000e+03 7.763935327975701739e-12 7.976494464934091866e-12 7.686830338915484617e-12
3.618800000000000239e+01 1.682656250000000000e+03 7.498911214209869058e-12 8.151977357040429695e-12 7.760227356545801314e-12
3.706300000000000239e+01 1.682343750000000000e+03 7.770349468028125983e-12 8.030255280178089095e-12 7.696587291106116169e-12
3.793800000000000239e+01 1.682500000000000000e+03 7.488469913607964656e-12 7.904835640226703930e-12 7.404934304622301511e-12
3.882800000000000296e+01 1.684062500000000000e+03 7.784471851846053170e-12 7.994412423717456306e-12 7.510597178905786819e-12
3.971900000000000119e+01 1.683125000000000000e+03 7.694806597458025976e-12 8.221721047030339236e-12 7.537788102029985282e-12
4.060900000000000176e+01 1.683125000000000000e+03 7.682528224695062136e-12 8.106870209856342768e-12 7.542729461851305217e-12
4.150000000000000000e+01 1.684531250000000000e+03 7.229453580920308653e-12 8.108725496613899963e-12 7.509360321067415356e-12
4.237500000000000000e+01 1.684062500000000000e+03 7.339436350339845205e-12 7.740454978366617667e-12 7.769115212274968485e-12
4.325000000000000000e+01 1.683906250000000000e+03 7.547427093024250411e-12 7.663833109794460086e-12 7.247372840746280076e-12
4.414099999999999824e+01 1.683906250000000000e+03 7.659808551330193893e-12 7.983294580959920950e-12 7.449425624972416671e-12
4.501599999999999824e+01 1.682812500000000000e+03 7.517335712248218726e-12 7.853531193424689860e-12 7.364153557787300741e-12
4.589099999999999824e+01 1.683281250000000000e+03 7.573619682788024221e-12 7.888256887966793585e-12 7.791124516376424225e-12
4.678099999999999881e+01 1.682968750000000000e+03 7.406793928188548648e-12 8.114286152716143619e-12 7.588455905316315864e-12
4.765599999999999881e+01 1.683281250000000000e+03 7.287658324028889467e-12 8.235846032933480387e-12 7.514878476444497579e-12
4.854699999999999704e+01 1.684375000000000000e+03 7.630327793217706045e-12 7.768508059058376602e-12 7.627999794312945170e-12
4.943800000000000239e+01 1.682500000000000000e+03 7.419074035674988465e-12 7.722536152221515238e-12 7.493293312232918169e-12
5.031300000000000239e+01 1.682343750000000000e+03 7.679285159156723495e-12 8.333646273062100818e-12 7.348090018399755508e-12
5.118800000000000239e+01 1.683437500000000000e+03 7.568920316891603051e-12 7.806580902547377576e-12 7.762082643303358509e-12
5.207800000000000296e+01 1.684531250000000000e+03 7.597780911361429190e-12 8.053451135137112971e-12 7.774642041269430592e-12
5.295300000000000296e+01 1.684218750000000000e+03 7.572388029120080688e-12 8.052838777750093158e-12 7.690408206084686782e-12
5.382800000000000296e+01 1.682812500000000000e+03 7.649624857164472047e-12 8.093278651422064485e-12 7.720680865463958042e-12
5.471900000000000119e+01 1.682968750000000000e+03 7.582427741237296459e-12 8.039946312876633527e-12 7.457460864113141241e-12
5.559400000000000119e+01 1.682500000000000000e+03 7.757453533707714399e-12 7.910999980098587514e-12 7.592254082366967083e-12
5.646900000000000119e+01 1.684375000000000000e+03 7.754666700443557659e-12 8.068562311336346937e-12 7.805955534734287937e-12
5.735900000000000176e+01 1.684687500000000000e+03 7.716920852329778313e-12 7.805350116241172032e-12 7.813370610232350799e-12
5.823400000000000176e+01 1.683593750000000000e+03 7.415439789992817055e-12 8.030867637565108907e-12 7.464253173883328429e-12
5.912500000000000000e+01 1.683281250000000000e+03 7.822550766867220062e-12 8.096369061294517167e-12 7.739222457336936145e-12
6.000000000000000000e+01 1.682812500000000000e+03 7.661651695023419251e-12 8.083542515913144655e-12 7.765170451090597226e-12
6.087500000000000000e+01 1.682343750000000000e+03 7.326464955548228630e-12 7.589069997426811653e-12 7.804736024130676242e-12
6.176599999999999824e+01 1.682343750000000000e+03 7.898023381136543009e-12 7.774440813346217283e-12 7.418527597780055771e-12
6.264099999999999824e+01 1.683281250000000000e+03 7.650861715002843511e-12 8.216240188207990514e-12 7.722537886944991214e-12
6.351599999999999824e+01 1.683125000000000000e+03 7.731188952919687551e-12 8.160013463542892254e-12 7.630326925855968057e-12
6.440600000000000591e+01 1.684531250000000000e+03 7.700341232708129979e-12 8.022132437501827695e-12 7.582272483486196535e-12
6.528100000000000591e+01 1.684375000000000000e+03 7.811489302622653952e-12 7.941069676831169488e-12 7.548651807798290037e-12
6.617199999999999704e+01 1.684062500000000000e+03 7.711417442102241893e-12 8.007390757402976789e-12 7.563393487897140943e-12
6.704699999999999704e+01 1.683281250000000000e+03 7.559704598425476263e-12 8.161251188743001705e-12 7.575477571630795381e-12
6.792199999999999704e+01 1.682812500000000000e+03 7.761135484285475172e-12 8.178554188054132368e-12 7.417292474665160285e-12
6.881300000000000239e+01 1.682500000000000000e+03 7.691125514242003192e-12 8.103164840511656308e-12 7.372807225847211043e-12
6.970300000000000296e+01 1.683125000000000000e+03 7.592869909200938849e-12 7.784328737159285083e-12 7.507508503756810114e-12
7.057800000000000296e+01 1.682812500000000000e+03 7.471275334514082545e-12 8.266291297298611340e-12 7.631702561572417665e-12
7.145300000000000296e+01 1.683125000000000000e+03 7.475998119177429402e-12 8.337352509768525266e-12 7.750699387853998701e-12
7.234399999999999409e+01 1.683750000000000000e+03 7.759907300064483593e-12 8.039520438263281221e-12 7.699675098893354885e-12
7.321899999999999409e+01 1.683281250000000000e+03 7.429649777346281070e-12 8.103812759729933646e-12 7.595251684533455006e-12
7.409399999999999409e+01 1.682343750000000000e+03 7.493996742602426764e-12 7.940456452082411687e-12 7.720065905991724264e-12
7.496899999999999409e+01 1.682968750000000000e+03 7.701569416929121559e-12 7.629853346347026388e-12 7.624190341559700101e-12
7.585899999999999466e+01 1.683906250000000000e+03 7.657350448164734757e-12 7.834996540445615665e-12 7.510599780991000785e-12
7.673399999999999466e+01 1.684687500000000000e+03 7.712620472832831808e-12 8.211302297833622532e-12 7.530368689723232478e-12
7.760899999999999466e+01 1.683593750000000000e+03 7.710779063863082428e-12 7.941682901579927290e-12 7.761461612298958812e-12
7.850000000000000000e+01 1.682968750000000000e+03 7.757450064260762446e-12 8.108109669779928197e-12 7.740869577277376123e-12
7.937500000000000000e+01 1.682187500000000000e+03 7.783860361820771345e-12 7.998125599317784662e-12 7.703999764518965065e-12
8.026600000000000534e+01 1.682656250000000000e+03 7.525933869156897771e-12 8.067326320859713462e-12 7.408025581856492181e-12
8.114100000000000534e+01 1.682968750000000000e+03 7.570759991137876455e-12 8.221186752199738379e-12 7.796686039840405869e-12
8.203100000000000591e+01 1.683750000000000000e+03 7.259408785903476158e-12 8.060822842548276412e-12 7.559093108400194438e-12
8.292199999999999704e+01 1.683125000000000000e+03 7.513648557500030023e-12 7.858780466662995678e-12 7.651205190251086918e-12
8.379699999999999704e+01 1.682500000000000000e+03 7.750081826296550958e-12 8.106269128171916805e-12 7.687315194127020135e-12
8.467199999999999704e+01 1.682812500000000000e+03 7.514265251695739778e-12 8.109951946111415566e-12 7.627378763308545473e-12
8.554699999999999704e+01 1.683750000000000000e+03 7.408024714494754193e-12 7.898083229096464208e-12 7.950541267010002855e-12
8.643800000000000239e+01 1.682656250000000000e+03 7.531603812838127965e-12 8.171133041023903587e-12 7.696654077959941276e-12
8.732800000000000296e+01 1.683281250000000000e+03 7.451897605925683621e-12 8.043627396092656312e-12 7.314064284780208425e-12
8.820300000000000296e+01 1.682656250000000000e+03 7.479875226146237566e-12 8.171360289799256549e-12 7.817076846938775248e-12
8.907800000000000296e+01 1.683593750000000000e+03 7.601425565384456462e-12 8.111200079652380879e-12 7.311634804552102906e-12
8.996899999999999409e+01 1.683750000000000000e+03 7.431353275799690294e-12 7.914084318438874277e-12 7.486015279889457474e-12
9.085899999999999466e+01 1.682968750000000000e+03 7.413585370596997848e-12 8.027661001219765780e-12 7.472284943577101046e-12
9.173399999999999466e+01 1.682500000000000000e+03 7.441183953738050860e-12 8.106871077218080757e-12 7.522340389476411815e-12
9.260899999999999466e+01 1.682656250000000000e+03 7.535312651629766378e-12 7.925209100090313541e-12 7.589798581286721912e-12
9.348399999999999466e+01 1.684531250000000000e+03 7.552613916217421064e-12 7.971164527054153126e-12 7.735512751183559743e-12
9.437500000000000000e+01 1.684062500000000000e+03 7.349682494550702216e-12 8.253312963613090858e-12 7.633555246244760895e-12
9.525000000000000000e+01 1.683281250000000000e+03 7.408636204520036017e-12 7.932007481392666648e-12 7.500710122454457007e-12
9.614100000000000534e+01 1.686718750000000000e+03 7.544352295663081520e-12 8.094597908625544846e-12 7.511831434658944318e-12
9.704699999999999704e+01 1.682500000000000000e+03 7.803481819057545010e-12 7.823870891432438412e-12 7.554179504154490132e-12
9.792199999999999704e+01 1.682500000000000000e+03 7.580585464905809090e-12 8.153217684325753112e-12 7.414823963158845288e-12
9.879699999999999704e+01 1.682968750000000000e+03 7.778945890213329051e-12 8.072887844323695106e-12 7.645919487819785587e-12
9.968800000000000239e+01 1.683281250000000000e+03 7.595327145004659997e-12 8.221187619561476367e-12 7.796684305116929892e-12
1.005630000000000024e+02 1.682656250000000000e+03 7.689169613522839342e-12 8.139003360163599154e-12 7.603281719503751646e-12
1.014530000000000030e+02 1.682968750000000000e+03 7.640976393274989675e-12 8.185483540978921724e-12 7.784328737159285083e-12
