Start time (s) =
1553508139
'Reltime', 'DEFAU[mV]', '2.00[A]', '28.00[A]', '18.00[A]'
4.585900000000000176e+01 2.190156250000000000e+03 9.733659191157872925e-12 2.211099532634097642e-11 2.082824017424211860e-11
4.675000000000000000e+01 2.190625000000000000e+03 9.549427221200446070e-12 2.186445989538210455e-11 2.150801065026186620e-11
4.764000000000000057e+01 2.190000000000000000e+03 9.921580050586964461e-12 2.186198617970536162e-11 2.087609425605041480e-11
4.851500000000000057e+01 2.190156250000000000e+03 9.558642939666572858e-12 2.240388950747185248e-11 2.053905136245592900e-11
4.940599999999999881e+01 2.189843750000000000e+03 9.784018213665479635e-12 2.228957816929888480e-11 2.054091272074565211e-11
5.029699999999999704e+01 2.189062500000000000e+03 9.734275017991844692e-12 2.243900204534909903e-11 2.093320308760304727e-11
5.117199999999999704e+01 2.190468750000000000e+03 9.932014412294964956e-12 2.215712509301415167e-11 2.085047932920414127e-11
5.204699999999999704e+01 2.190156250000000000e+03 9.764365531406138388e-12 2.182985389675984322e-11 2.132807645771617189e-11
5.293699999999999761e+01 2.191406250000000000e+03 1.018871619018479890e-11 2.237361164392215329e-11 2.133544209359516941e-11
5.381199999999999761e+01 2.190000000000000000e+03 9.701111441939858082e-12 2.237268183213902972e-11 2.107935874462452119e-11
5.468699999999999761e+01 2.190000000000000000e+03 9.710321088873818951e-12 2.211721084055540132e-11 2.094180037714998832e-11
5.557800000000000296e+01 2.190312500000000000e+03 9.897015498805394884e-12 2.206746070598786247e-11 2.120947861783406552e-11
5.645300000000000296e+01 2.190000000000000000e+03 9.862008779060182917e-12 2.174210637917450839e-11 2.066852244908545799e-11
5.732800000000000296e+01 2.190312500000000000e+03 9.540214104819533247e-12 2.200596302404100868e-11 2.091227538358886306e-11
5.821800000000000352e+01 2.190000000000000000e+03 9.298258343837240147e-12 2.152276100397809699e-11 2.090114886721394782e-11
5.909300000000000352e+01 2.190312500000000000e+03 9.658124994205152802e-12 2.209431422539598344e-11 2.116066696866703012e-11
5.996800000000000352e+01 2.190625000000000000e+03 9.967025468848866865e-12 2.164188446507342434e-11 2.103760395055775945e-11
6.084300000000000352e+01 2.190000000000000000e+03 9.566620065570852205e-12 2.201403816182168072e-11 2.054815692598133126e-11
6.173400000000000176e+01 2.190937500000000000e+03 9.686993394930620838e-12 2.216634514828896840e-11 2.102782357960020221e-11
6.262500000000000000e+01 2.192031250000000000e+03 9.573993507705491623e-12 2.215425412566141006e-11 2.110453652115484857e-11
6.350000000000000000e+01 2.189843750000000000e+03 9.634787759282836817e-12 2.209678967579620235e-11 2.071393230551610287e-11
6.437500000000000000e+01 2.190312500000000000e+03 9.630489114509366289e-12 2.165004113485746728e-11 2.068797737286853788e-11
6.526500000000000057e+01 2.190000000000000000e+03 9.857097776899692576e-12 2.174935578858061547e-11 2.102905870271509770e-11
6.615600000000000591e+01 2.190312500000000000e+03 9.642162068779214223e-12 2.210791272272416563e-11 2.074406098284686806e-11
6.703100000000000591e+01 2.190156250000000000e+03 9.685146781790443526e-12 2.138518702399228033e-11 2.081773295414812708e-11
6.790600000000000591e+01 2.189687500000000000e+03 9.574605865092511436e-12 2.201090004705363867e-11 2.059528068920624122e-11
6.879699999999999704e+01 2.190312500000000000e+03 9.529777141026318787e-12 2.169469812129953823e-11 2.083863463731017163e-11
6.968699999999999761e+01 2.190937500000000000e+03 9.601625917954326184e-12 2.180266557572085873e-11 2.086564775127808247e-11
7.057800000000000296e+01 2.190000000000000000e+03 9.506440773465740790e-12 2.189490602710897349e-11 2.097097322184549029e-11
7.145300000000000296e+01 2.191406250000000000e+03 9.391599477270862195e-12 2.140598462374576627e-11 2.104190259533122997e-11
7.234300000000000352e+01 2.190312500000000000e+03 9.911138749985060059e-12 2.160749357216218414e-11 2.077906076369817612e-11
