Start time (s) =
1553526847
'Reltime', 'DEFAU[mV]', '2.00[A]', '28.00[A]', '18.00[A]'
0.000000000000000000e+00 1.682656250000000000e+03 9.184646966586829109e-12 7.642829077947332905e-12 7.359210463242504829e-12
9.060000000000000275e-01 1.684531250000000000e+03 9.210439702589390265e-12 8.038288784595337688e-12 7.112051399194019297e-12
1.781000000000000139e+00 1.683906250000000000e+03 9.214120785805413050e-12 7.665692733360707223e-12 7.450039717082912460e-12
2.671000000000000263e+00 1.682812500000000000e+03 8.980583637852035395e-12 7.797303601397853612e-12 7.197322165336528244e-12
3.546000000000000263e+00 1.683750000000000000e+03 9.284131623210623019e-12 7.885047649536236491e-12 7.160864783084530671e-12
4.421000000000000263e+00 1.683437500000000000e+03 9.192627561938060410e-12 7.530370424446708455e-12 7.560026389630269961e-12
5.312000000000000277e+00 1.683125000000000000e+03 9.074719274637654820e-12 7.844266035339497734e-12 7.201066999640293176e-12
6.187000000000000277e+00 1.684687500000000000e+03 9.020676566828811360e-12 7.739026433584150766e-12 7.105252584210797195e-12
7.062000000000000277e+00 1.684218750000000000e+03 9.204295312037480414e-12 7.452510830674441422e-12 7.030488604481410775e-12
7.953000000000000291e+00 1.683906250000000000e+03 9.264481543036495736e-12 7.829435884343372010e-12 7.452515167483131364e-12
8.842999999999999972e+00 1.684062500000000000e+03 8.862848822899227486e-12 7.869595600173973082e-12 7.552615650940897041e-12
9.717999999999999972e+00 1.682500000000000000e+03 9.193856613520789978e-12 7.778332665464571249e-12 7.147887750441617172e-12
1.059299999999999997e+01 1.683125000000000000e+03 8.852413593829489002e-12 7.774439078622741306e-12 7.514922711893134988e-12
1.148399999999999999e+01 1.684062500000000000e+03 9.066733475115995589e-12 7.374658175796078297e-12 7.105880987789969794e-12
1.237500000000000000e+01 1.684375000000000000e+03 9.391599477270862195e-12 7.768260860963049907e-12 7.333878296322815515e-12
1.325000000000000000e+01 1.682343750000000000e+03 9.231316232261033150e-12 7.786184023916842278e-12 7.304217994330564068e-12
1.412500000000000000e+01 1.682812500000000000e+03 9.106037104911202107e-12 7.495767895271399084e-12 7.297420480389948949e-12
1.500000000000000000e+01 1.682500000000000000e+03 9.032347786375183318e-12 7.862182259399386197e-12 7.267144351563725735e-12
1.589000000000000057e+01 1.682812500000000000e+03 9.146574123097828135e-12 7.718763996023003671e-12 7.405557937711915173e-12
1.676500000000000057e+01 1.682812500000000000e+03 8.970935105878652394e-12 7.678049168680090020e-12 7.250459347490911810e-12
1.765599999999999881e+01 1.682500000000000000e+03 9.172974879678719162e-12 7.292473916398201084e-12 7.176313362999842127e-12
1.853099999999999881e+01 1.682968750000000000e+03 9.359665820163343142e-12 7.943127926235415970e-12 7.116373462734415511e-12
1.942099999999999937e+01 1.682500000000000000e+03 8.916894132793284911e-12 7.638928552211599055e-12 7.432124360384761985e-12
2.031200000000000117e+01 1.683125000000000000e+03 9.325892488809550684e-12 7.912233368490007024e-12 7.404934304622301511e-12
2.118700000000000117e+01 1.682968750000000000e+03 8.921191042843279462e-12 7.616206276761516847e-12 7.596485940286612504e-12
2.206200000000000117e+01 1.682968750000000000e+03 8.952512342563778702e-12 7.600813207997436649e-12 7.215857685677340427e-12
2.293700000000000117e+01 1.682500000000000000e+03 9.074718407275916832e-12 7.659192724496222127e-12 7.270461142849793390e-12
2.382799999999999940e+01 1.682968750000000000e+03 9.225177913241289218e-12 7.681138711190804713e-12 7.123688791632609707e-12
2.471799999999999997e+01 1.682968750000000000e+03 9.115249353930376941e-12 7.415392085097227692e-12 7.207820711813139880e-12
2.559299999999999997e+01 1.682968750000000000e+03 9.114022904432861338e-12 7.442010549474353809e-12 6.928535002670432874e-12
2.646799999999999997e+01 1.684218750000000000e+03 9.385458556165904298e-12 7.953016717410221759e-12 7.129828411694960622e-12
2.735900000000000176e+01 1.685000000000000000e+03 9.387920128778315387e-12 7.807807352044893179e-12 7.078683559452736418e-12
2.823400000000000176e+01 1.684843750000000000e+03 9.056909736071538930e-12 7.640769961181348435e-12 7.547673423757839117e-12
2.910900000000000176e+01 1.684062500000000000e+03 9.146568918927400205e-12 7.493995875240688775e-12 7.537785499944771317e-12
3.000000000000000000e+01 1.682500000000000000e+03 9.135516128300213978e-12 7.330171192254653079e-12 7.003300283442426277e-12
3.087500000000000000e+01 1.682500000000000000e+03 9.128145288250788525e-12 7.593484868673172627e-12 7.305453117445459554e-12
3.175000000000000000e+01 1.682187500000000000e+03 9.094986916369229846e-12 7.586728120734242964e-12 6.950160499202828746e-12
3.262500000000000000e+01 1.683125000000000000e+03 9.356597094334340170e-12 7.836230796198773163e-12 7.240574025763057975e-12
3.351500000000000057e+01 1.682656250000000000e+03 9.102354286971703345e-12 7.818931266334594454e-12 7.179401604467949838e-12
3.439000000000000057e+01 1.682656250000000000e+03 9.201840678318973232e-12 7.780622500452860635e-12 7.127498678066723770e-12
3.526500000000000057e+01 1.684687500000000000e+03 8.614747804003286547e-12 7.396905137013742859e-12 7.369092315523406711e-12
3.615599999999999881e+01 1.682656250000000000e+03 9.293343872229797853e-12 7.770732841916316858e-12 7.165805275544112618e-12
3.704599999999999937e+01 1.682500000000000000e+03 9.145338132621194660e-12 7.493911741152103900e-12 7.695966260101716472e-12
3.792099999999999937e+01 1.682812500000000000e+03 9.068574884085744969e-12 7.571378420057062186e-12 7.251696205329283273e-12
3.879599999999999937e+01 1.683593750000000000e+03 8.971547463265672206e-12 7.725515539791505404e-12 7.323374545675775948e-12
3.968699999999999761e+01 1.684687500000000000e+03 9.300713844917485318e-12 7.808425780964078911e-12 7.399997281609671518e-12
4.056199999999999761e+01 1.683593750000000000e+03 8.900925135835180413e-12 7.437685883848743629e-12 7.135356975412898706e-12
4.143699999999999761e+01 1.683125000000000000e+03 9.088232770515514147e-12 7.524707419659382168e-12 7.334492388433311305e-12
4.231199999999999761e+01 1.693750000000000000e+03 9.250972383967326351e-12 7.863420851961233637e-12 7.160866084127137654e-12
4.320300000000000296e+01 1.684375000000000000e+03 9.292115688008806274e-12 7.631706031019369618e-12 7.161763803525955652e-12
4.407800000000000296e+01 1.682968750000000000e+03 9.078403827300629558e-12 7.236248059094840812e-12 6.905054219380479807e-12
4.495300000000000296e+01 1.682500000000000000e+03 9.364582026494261413e-12 7.769120416445396415e-12 7.450044053891602402e-12
4.584300000000000352e+01 1.682968750000000000e+03 9.191401112440544807e-12 7.741071672562327421e-12 7.260964399180558360e-12
4.671800000000000352e+01 1.683281250000000000e+03 9.301940294415000920e-12 7.985144663547050214e-12 7.497003018386294571e-12
4.759300000000000352e+01 1.682656250000000000e+03 9.287817043235335746e-12 7.236248492775709806e-12 7.590924416822630860e-12
4.848400000000000176e+01 1.683125000000000000e+03 9.442572591888964695e-12 7.528516872412627237e-12 7.332024744288734297e-12
4.935900000000000176e+01 1.682656250000000000e+03 9.166224203271955417e-12 7.728719574051634567e-12 7.195469480664185014e-12
5.023400000000000176e+01 1.684062500000000000e+03 9.106037972272940095e-12 7.461164498734351724e-12 7.591540243656602627e-12
5.112500000000000000e+01 1.682500000000000000e+03 9.171749297542941548e-12 7.546433963834253689e-12 7.395052452341399629e-12
5.200000000000000000e+01 1.682812500000000000e+03 9.196923604626316973e-12 7.564621672118132523e-12 7.015041759289575296e-12
5.292099999999999937e+01 1.682968750000000000e+03 9.266933574669788953e-12 7.872686010046425764e-12 7.330642169678380782e-12
5.379599999999999937e+01 1.683750000000000000e+03 8.818635058305268615e-12 7.547427960385988399e-12 7.388252336315570545e-12
5.467099999999999937e+01 1.684218750000000000e+03 9.170516776513260027e-12 7.954249238439903280e-12 7.171369401093308227e-12
5.556199999999999761e+01 1.683281250000000000e+03 8.942685134072370090e-12 7.722536152221515238e-12 7.036483375133517626e-12
5.645300000000000296e+01 1.682656250000000000e+03 9.047085129665344283e-12 7.655509039194985377e-12 7.496386324190584816e-12
5.734300000000000352e+01 1.683281250000000000e+03 9.203679485203508648e-12 7.478643572478294033e-12 7.568061628770994531e-12
5.821800000000000352e+01 1.683281250000000000e+03 8.945139767790877272e-12 7.837287242795643039e-12 7.377131024111083235e-12
5.909300000000000352e+01 1.682656250000000000e+03 9.030506377405433938e-12 7.758993968154381804e-12 7.315342775982003332e-12
