Start time (s) =
1552315510
'Reltime', '44.00[A]', '28.00[A]'
0.000000000000000000e+00 5.991176305064627172e-12 6.391846253672728295e-12
2.650000000000000133e-01 5.920735689918243949e-12 6.104252953803568360e-12
5.460000000000000409e-01 5.718681604649500372e-12 6.170986464881789146e-12
8.120000000000000551e-01 5.894986322002582213e-12 6.024543711125041057e-12
1.078000000000000069e+00 5.666778244567405309e-12 5.928150765416306811e-12
1.342999999999999972e+00 5.789123087157621583e-12 6.020835739695140632e-12
1.625000000000000000e+00 5.763170322914401567e-12 6.018746698949195562e-12
1.906000000000000139e+00 5.831757819707572565e-12 6.011567112162996551e-12
2.170999999999999819e+00 5.883660746108798634e-12 6.002299785673459454e-12
2.436999999999999833e+00 5.553702029509333116e-12 5.853125276122916887e-12
2.702999999999999847e+00 5.811367446290072181e-12 5.926297213382225593e-12
2.983999999999999986e+00 5.963371289829932920e-12 5.996737828528608816e-12
3.250000000000000000e+00 5.364624109521765050e-12 6.007826180987052567e-12
3.515000000000000124e+00 5.466578145013611945e-12 5.837318909490685215e-12
3.796000000000000263e+00 5.772439817808283635e-12 6.070885547743154476e-12
4.062000000000000277e+00 5.911467062386099869e-12 6.083861279343460993e-12
4.328000000000000291e+00 5.690876155733937125e-12 6.220766089748419603e-12
4.608999999999999986e+00 5.737218859713788532e-12 5.889222269572780277e-12
4.875000000000000000e+00 5.748341472960882825e-12 5.892930241002680702e-12
5.155999999999999694e+00 5.852149060486810939e-12 6.073345385632089588e-12
5.437000000000000277e+00 5.705706306730062849e-12 6.109814477267550004e-12
5.703000000000000291e+00 5.601897851842396747e-12 5.879954075721505191e-12
5.967999999999999972e+00 5.534624841763147174e-12 5.935564973552631685e-12
6.233999999999999986e+00 5.917028585850081512e-12 6.341527129805069052e-12
6.514999999999999680e+00 5.765025175991089768e-12 5.885514731823748846e-12
6.780999999999999694e+00 5.687506455381852177e-12 6.046787202895753666e-12
7.046000000000000263e+00 5.768732280059252204e-12 6.065324024279172832e-12
