Start time (s) =
1552314008
'Reltime', '44.00[A]', '28.00[A]'
0.000000000000000000e+00 4.537870947063371574e-12 5.177399307887409208e-12
2.660000000000000142e-01 4.862269441241462431e-12 5.420235007352891543e-12
5.470000000000000417e-01 4.461869675814744696e-12 5.446186904234373571e-12
8.129999999999999449e-01 4.233864127345388084e-12 5.375746289087990348e-12
1.078000000000000069e+00 4.632410340738024601e-12 5.168131547717003116e-12
1.358999999999999986e+00 4.691728776318182526e-12 5.325696047359107510e-12
1.625000000000000000e+00 4.619434609137718084e-12 5.258962969961755718e-12
1.891000000000000014e+00 4.376598475991366755e-12 5.225595997582210828e-12
2.156000000000000139e+00 4.554555083774447510e-12 5.214306417200553767e-12
2.438000000000000167e+00 4.634263459091236825e-12 5.126945742950361762e-12
2.702999999999999847e+00 4.693583195714001732e-12 5.160716472218940254e-12
2.968999999999999861e+00 4.448893510533569184e-12 5.255255432212724287e-12
3.250000000000000000e+00 4.825196232155493092e-12 5.546286954011270254e-12
3.516000000000000014e+00 4.463723661529694908e-12 5.255255865893593281e-12
3.781000000000000139e+00 4.452600614601731621e-12 5.162570024253021472e-12
4.046999999999999709e+00 4.530457172607915695e-12 5.386868902335084641e-12
4.328000000000000291e+00 4.424795165686168374e-12 5.273792687277012448e-12
4.594000000000000306e+00 4.539725366459190781e-12 5.138472113086489657e-12
4.875000000000000000e+00 4.590044490326850024e-12 5.356266211814508793e-12
5.155999999999999694e+00 4.526749201178015269e-12 5.142179650835521088e-12
5.437999999999999723e+00 4.461870109495613690e-12 5.296037480090332039e-12
5.703000000000000291e+00 4.380306881102136174e-12 5.175546189534196984e-12
5.969000000000000306e+00 4.345085923007641071e-12 5.173692203819246771e-12
6.233999999999999986e+00 4.773292438392529036e-12 5.242279700612417770e-12
6.516000000000000014e+00 4.637971430521137250e-12 5.390575572722378084e-12
6.780999999999999694e+00 4.452601048282600615e-12 5.283061314809156528e-12
7.046999999999999709e+00 4.510065498147808327e-12 5.077299258110512525e-12
7.328000000000000291e+00 4.454454166635812840e-12 5.243425485468300451e-12
7.594000000000000306e+00 4.408111462655961432e-12 5.188521921134503501e-12
7.858999999999999986e+00 4.543432036846484223e-12 5.258963403642624712e-12
8.141000000000000014e+00 4.587922056153992401e-12 5.208913161913741874e-12
8.406000000000000583e+00 4.675044639607106589e-12 4.983166223410107065e-12
8.688000000000000611e+00 4.610166415286442998e-12 5.257108550565936511e-12
8.952999999999999403e+00 4.367329848459222674e-12 5.172446238682626429e-12
9.218999999999999417e+00 4.623141713205880521e-12 5.279353777060125097e-12
9.483999999999999986e+00 4.448893076852700190e-12 5.274365146024084794e-12
9.766000000000000014e+00 4.495236214513420592e-12 5.320135391256863855e-12
1.003100000000000058e+01 4.597324257393786695e-12 5.006824815856347755e-12
1.031300000000000061e+01 4.456308586031632046e-12 5.339884784349990809e-12
1.059399999999999942e+01 4.547140008276384648e-12 5.286767985196449970e-12
1.085899999999999999e+01 4.291328577210595796e-12 5.123643696813839910e-12
1.112500000000000000e+01 4.574944589830209907e-12 5.276185304631253459e-12
1.140600000000000058e+01 4.695435446705475968e-12 5.268230730132161810e-12
1.167200000000000060e+01 4.593482712256236056e-12 5.334964241210382596e-12
1.195299999999999940e+01 4.530456305246177706e-12 5.197926290778642766e-12
1.223399999999999999e+01 4.415526538154024294e-12 5.034664959241430537e-12
1.251600000000000001e+01 4.346939908722591284e-12 5.207059609879660655e-12
1.278100000000000058e+01 4.574944156149340913e-12 5.403552605365291583e-12
1.304700000000000060e+01 4.465576779882907132e-12 5.139685118477066439e-12
1.331300000000000061e+01 4.515627021611789971e-12 5.258962536280886724e-12
1.359399999999999942e+01 4.422941613652087156e-12 5.173692203819246771e-12
1.387500000000000000e+01 4.456309019712501041e-12 5.470285249081774381e-12
1.414100000000000001e+01 4.595336697971186268e-12 5.554645719080264499e-12
1.443800000000000061e+01 4.306124467418070978e-12 5.041405227307338421e-12
1.470299999999999940e+01 4.249703887404532310e-12 5.212619832301035316e-12
1.498399999999999999e+01 4.487822006377095718e-12 5.327549599393188728e-12
1.526600000000000001e+01 4.619435042818587078e-12 5.366478528917584256e-12
1.554700000000000060e+01 4.613873953035474429e-12 5.292329074979562620e-12
1.581300000000000061e+01 4.441478001354637328e-12 5.195936562951697368e-12
1.607799999999999940e+01 4.662070209049407055e-12 5.136045668624467098e-12
1.634400000000000119e+01 4.735645035836011374e-12 5.446187771596111560e-12
1.662500000000000000e+01 4.617579756061029883e-12 5.366477661555846268e-12
1.689099999999999824e+01 4.454455033997550828e-12 5.472140102158462582e-12
1.715599999999999881e+01 4.556408202127659735e-12 5.456366261591405475e-12
1.742200000000000060e+01 4.371038253569992094e-12 5.353501929955539751e-12
1.770299999999999940e+01 4.404405659630405978e-12 5.077299691791381520e-12
1.796900000000000119e+01 4.358062521969685577e-12 5.397991081901309940e-12
1.823400000000000176e+01 4.387721522919330042e-12 5.397991081901309940e-12
1.851599999999999824e+01 4.678752177356138020e-12 5.409113261467535239e-12
1.878099999999999881e+01 4.259815156865132124e-12 5.483666472294590477e-12
1.904700000000000060e+01 4.429884410683815332e-12 5.418381021637941330e-12
1.931299999999999883e+01 4.324696416951878675e-12 5.375747156449728337e-12
1.959400000000000119e+01 4.276498859895339066e-12 5.334965542252989579e-12
1.985900000000000176e+01 4.359915206642028807e-12 4.778854395537379673e-12
2.012500000000000000e+01 4.361769626037848013e-12 5.366478528917584256e-12
2.046900000000000119e+01 4.542725137030023674e-12 5.381307378871102998e-12
2.075000000000000000e+01 4.269084218078145199e-12 5.153301396720877392e-12
2.101599999999999824e+01 4.396990584132343116e-12 5.099544050923832117e-12
2.128099999999999881e+01 4.624996132601699728e-12 5.325696047359107510e-12
2.156299999999999883e+01 4.369184267855041881e-12 5.327549599393188728e-12
2.182799999999999940e+01 4.480844948556717000e-12 5.268905537564316788e-12
2.212500000000000000e+01 4.519334559360821402e-12 5.205205190483841449e-12
2.239099999999999824e+01 4.335817729156365985e-12 5.060617289803781560e-12
2.267200000000000060e+01 4.636119179529663015e-12 5.140326966163177858e-12
2.293799999999999883e+01 4.217180857996050136e-12 5.247839923033792431e-12
2.321900000000000119e+01 4.306157860844983531e-12 5.095836079493931692e-12
2.348400000000000176e+01 4.389573773910804277e-12 5.040226482705412181e-12
2.375000000000000000e+01 4.536018262391028344e-12 5.245985937318842218e-12
2.403099999999999881e+01 4.191464883507300954e-12 5.032811407207349319e-12
2.431299999999999883e+01 4.239425650809369728e-12 5.119935725383939484e-12
2.459400000000000119e+01 4.326144043692581320e-12 5.156065678579846434e-12
2.487500000000000000e+01 4.717444750806931708e-12 5.501798235746369059e-12
2.514099999999999824e+01 4.409965448370911645e-12 5.145888489627159501e-12
2.540599999999999881e+01 4.560116173557560160e-12 5.220034907799098178e-12
2.567200000000000060e+01 4.346164921009698645e-12 4.999444434827804429e-12
2.595299999999999940e+01 4.532310290961127919e-12 4.975346523661272613e-12
2.621900000000000119e+01 4.567531249055623022e-12 5.320134523895125866e-12
2.648400000000000176e+01 4.278351978248551291e-12 4.934564042102795867e-12
2.675000000000000000e+01 4.238785537846734286e-12 5.307158792294819349e-12
2.703099999999999881e+01 4.621287727490930308e-12 5.099645965928045754e-12
