Start time (s) =
1552312026
'Reltime', '44.00[A]', '28.00[A]'
0.000000000000000000e+00 4.045865205359877592e-12 4.688021672250020089e-12
2.650000000000000133e-01 4.252400948728807251e-12 5.030484709345195427e-12
5.310000000000000275e-01 4.131404853641162944e-12 5.001297119500147659e-12
7.970000000000000417e-01 3.585403892183980368e-12 4.862270742284069414e-12
1.078000000000000069e+00 3.863123362868314814e-12 5.129204352916083565e-12
1.358999999999999986e+00 3.982163990917664265e-12 4.927149833966470993e-12
1.625000000000000000e+00 3.729184062245538556e-12 4.676899926364663784e-12
1.890000000000000124e+00 3.994735965628937180e-12 4.971638552231372188e-12
2.156000000000000139e+00 3.978053129960468226e-12 4.802951005661304507e-12
2.436999999999999833e+00 4.026248084931793869e-12 4.993882911363822785e-12
2.702999999999999847e+00 3.898343453601071928e-12 4.988321387899841142e-12
2.967999999999999972e+00 3.850147197587139303e-12 4.817780722976561236e-12
3.250000000000000000e+00 4.028102504327613076e-12 4.797390783239929846e-12
3.515000000000000124e+00 3.825643794808097908e-12 4.810365213797629380e-12
3.781000000000000139e+00 3.749204072200917892e-12 4.813904483369491061e-12
4.062000000000000277e+00 3.674044575519008760e-12 4.825195364793755104e-12
4.328000000000000291e+00 4.074445208307464483e-12 4.717681106880533548e-12
4.608999999999999986e+00 3.722239964171203397e-12 5.095837380536538674e-12
4.875000000000000000e+00 3.994736399309806174e-12 4.849294577002893902e-12
5.139999999999999680e+00 3.826048419058869499e-12 4.927149400285601999e-12
5.421999999999999709e+00 4.002151474807869036e-12 4.984614717512547699e-12
5.687000000000000277e+00 3.801950074211468689e-12 4.752901197613290663e-12
5.967999999999999972e+00 4.027662751926452955e-12 5.154245519972677769e-12
6.250000000000000000e+00 3.777851729364067879e-12 4.904905908514889390e-12
6.514999999999999680e+00 3.714826189715747518e-12 4.873392054488556724e-12
6.780999999999999694e+00 3.870537137323770693e-12 4.808444874909723055e-12
7.046999999999999709e+00 3.905724268310484248e-12 4.912319682970345269e-12
7.328000000000000291e+00 3.933563978014698037e-12 4.875246907565244925e-12
7.592999999999999972e+00 3.853853867974432745e-12 5.045786705126786842e-12
7.858999999999999986e+00 3.725948369281972816e-12 4.835744218251170068e-12
8.125000000000000000e+00 3.945763420859504933e-12 5.066177512225156221e-12
8.406000000000000583e+00 3.940977752470153916e-12 4.799243034231404081e-12
8.672000000000000597e+00 3.864976047540658044e-12 5.077299258110512525e-12
8.936999999999999389e+00 3.675897693872220984e-12 4.710265597701601692e-12
9.217999999999999972e+00 3.499863376540957027e-12 4.778852660813903697e-12
9.483999999999999986e+00 3.883884533428805241e-12 4.869684950420394287e-12
9.765000000000000568e+00 3.623623753487570376e-12 4.678752177356138020e-12
1.003100000000000058e+01 4.145964387775036286e-12 4.977199642014484837e-12
1.029700000000000060e+01 3.690727844868346708e-12 4.802951873023042495e-12
1.057799999999999940e+01 3.814926673173513194e-12 5.047639823479999066e-12
1.085899999999999999e+01 3.681458783655333633e-12 4.972245705447964070e-12
1.112500000000000000e+01 3.763763606334791234e-12 4.867831398386313069e-12
1.139000000000000057e+01 3.790827894645243390e-12 4.563823277625722596e-12
1.165600000000000058e+01 3.835316612910144585e-12 4.788121288346047777e-12
1.193699999999999939e+01 3.889344141888573247e-12 4.458161270703975276e-12
1.221799999999999997e+01 3.871143856859493582e-12 4.853944503280249734e-12
1.248399999999999999e+01 3.785266804862130741e-12 4.943832669634939947e-12
1.275000000000000000e+01 3.862044364866257240e-12 4.773292872073398030e-12
1.301500000000000057e+01 3.712972204000797305e-12 4.631905536206515350e-12
1.329700000000000060e+01 3.863121628144838837e-12 4.576799009226029114e-12
1.356199999999999939e+01 3.823823202520060249e-12 4.799243901593142070e-12
1.382799999999999940e+01 3.683313636732021834e-12 4.841879067823962046e-12
1.409299999999999997e+01 3.629083795628207376e-12 4.827048483146967328e-12
1.437500000000000000e+01 3.861269377153364601e-12 4.758462287396403312e-12
1.464000000000000057e+01 4.020687428829550214e-12 5.038372496990461968e-12
1.490600000000000058e+01 3.649946230671607950e-12 4.765876929213597180e-12
