Start time (s) =
1552320234
'Reltime', '44.00[A]', '28.00[A]'
0.000000000000000000e+00 7.298038909309134681e-12 7.107107870968354391e-12
2.810000000000000275e-01 7.348087416314541542e-12 6.945835833577218565e-12
5.470000000000000417e-01 7.496384589467108839e-12 7.188671533042700901e-12
8.129999999999999449e-01 7.103398164814977989e-12 6.905054653061348802e-12
1.078000000000000069e+00 7.301744278653821141e-12 6.932859234615174060e-12
1.359999999999999876e+00 7.574847867009015800e-12 7.038519506813445403e-12
1.625000000000000000e+00 7.443807722995465781e-12 6.942127428466449146e-12
1.906000000000000139e+00 7.160866084127137654e-12 6.951396489679462221e-12
2.172000000000000153e+00 7.231306265592651883e-12 7.031105298677120530e-12
2.438000000000000167e+00 7.540875042455486010e-12 6.791978004322407614e-12
2.718999999999999861e+00 7.429652379431495035e-12 7.392578736664656702e-12
2.984999999999999876e+00 7.236867355375764532e-12 6.928747072615371039e-12
3.266000000000000014e+00 7.305452250083721566e-12 7.088569748542328242e-12
3.531000000000000139e+00 7.429651512069757047e-12 7.127498244385854775e-12
3.797000000000000153e+00 7.514924446616610965e-12 6.931005682581092842e-12
4.078000000000000291e+00 7.509362055790891333e-12 6.847588468472665113e-12
4.344000000000000306e+00 7.288769414415252612e-12 6.962518669245687519e-12
4.610000000000000320e+00 7.635413135087532055e-12 7.031106166038858518e-12
4.891000000000000014e+00 7.166425872867643321e-12 6.958810697815787094e-12
5.155999999999999694e+00 7.105254318934273172e-12 6.704853252464948454e-12
5.421999999999999709e+00 7.401846496835062794e-12 7.076167343050832059e-12
5.687999999999999723e+00 7.425946142725070587e-12 6.945835399896349571e-12
5.969000000000000306e+00 7.574239846430685930e-12 6.862418185787921843e-12
6.235000000000000320e+00 7.264671503248720796e-12 6.823490557306133297e-12
6.500000000000000000e+00 7.487116829296702747e-12 6.879101888818128785e-12
6.780999999999999694e+00 7.272085711385045670e-12 6.994032089591151191e-12
7.046999999999999709e+00 7.227597860481882464e-12 7.031105298677120530e-12
7.328000000000000291e+00 7.225744742128670239e-12 6.871687247000934917e-12
7.594000000000000306e+00 7.336966971471792220e-12 7.496385456828846827e-12
7.860000000000000320e+00 7.153448840224729821e-12 6.756757046227912511e-12
8.141000000000000014e+00 7.194231755464075562e-12 6.966224905952111968e-12
8.406000000000000583e+00 7.184964428974538464e-12 7.166425439186774327e-12
8.672000000000000597e+00 7.424089988605775403e-12 6.943981847862268353e-12
8.938000000000000611e+00 7.053350091490440121e-12 6.940273876432367928e-12
9.218999999999999417e+00 7.264673237972196773e-12 7.160864783084530671e-12
9.484999999999999432e+00 7.379601270340874208e-12 6.890224502065223078e-12
9.750000000000000000e+00 7.273940564461733871e-12 6.955103160066755663e-12
1.003100000000000058e+01 7.053350091490440121e-12 6.630704665888664806e-12
1.029700000000000060e+01 7.184961826889324499e-12 6.856857529685678188e-12
1.057799999999999940e+01 7.040373926209264610e-12 6.923286596793865044e-12
1.084399999999999942e+01 6.988470132446300553e-12 7.040373058847526622e-12
1.110999999999999943e+01 7.146034632088404948e-12 6.906907771414561026e-12
1.139100000000000001e+01 7.088570182223197236e-12 6.634411769956827243e-12
1.165600000000000058e+01 7.129352663781673982e-12 6.934712352968386284e-12
1.193800000000000061e+01 6.866126157217822268e-12 6.719682969780205184e-12
1.221899999999999942e+01 6.929152130547011623e-12 7.005187662584289043e-12
1.248499999999999943e+01 7.281356941002403715e-12 7.038519506813445403e-12
1.275000000000000000e+01 7.322136820475666497e-12 7.118229183172841701e-12
1.301600000000000001e+01 6.949542070283643014e-12 6.905053352018741819e-12
1.329700000000000060e+01 7.346235599003936301e-12 6.910614875482723463e-12
1.356300000000000061e+01 7.281357808364141704e-12 7.129352663781673982e-12
1.382799999999999940e+01 7.357360380655375565e-12 6.761307225905399676e-12
1.410999999999999943e+01 6.932858800934305066e-12 6.834612736872358596e-12
1.437500000000000000e+01 7.032959284392070742e-12 6.721266772313772009e-12
1.464100000000000001e+01 7.264672804291327779e-12 6.853150425617515751e-12
1.490600000000000058e+01 7.029251746643039311e-12 6.617728934288358289e-12
1.518800000000000061e+01 7.053349657809571127e-12 6.929152130547011623e-12
1.545299999999999940e+01 7.164571453471824114e-12 6.990324551842119760e-12
1.571899999999999942e+01 6.964372221279768738e-12 7.066325389409877644e-12
1.598499999999999943e+01 6.783146960787078683e-12 6.895783857124859750e-12
1.626599999999999824e+01 7.027397327247220105e-12 7.047789001707327472e-12
1.653099999999999881e+01 7.140473542305292298e-12 7.118229616853710695e-12
1.681299999999999883e+01 6.862417752107052848e-12 6.797538226743782275e-12
1.707799999999999940e+01 6.795685108390570051e-12 6.821637005272052079e-12
1.734400000000000119e+01 7.043408391249617040e-12 6.669633161732191340e-12
1.762500000000000000e+01 7.173840514684837188e-12 6.975493099803387054e-12
1.789099999999999824e+01 7.051494371052013932e-12 6.910614875482723463e-12
1.815599999999999881e+01 6.943982281543137347e-12 6.615875815935146065e-12
