Start time (s) =
1552317296
'Reltime', '44.00[A]', '28.00[A]'
3.693699999999999761e+01 5.425796964497742181e-12 5.666778244567405309e-12
3.721800000000000352e+01 5.244131951603892006e-12 5.870685881870230105e-12
3.748400000000000176e+01 5.387205438689424142e-12 5.900345750181612559e-12
3.776500000000000057e+01 5.084714767289444382e-12 5.900345750181612559e-12
3.803099999999999881e+01 5.416527903284729106e-12 5.598190314093365316e-12
3.829599999999999937e+01 5.385015350301003423e-12 5.820635206460478273e-12
3.857800000000000296e+01 4.941979117600858729e-12 5.644533451754085718e-12
3.884300000000000352e+01 5.505505773495400490e-12 5.685686296774683512e-12
3.912500000000000000e+01 5.260816521995836936e-12 5.687168617984905694e-12
3.939000000000000057e+01 5.441805426414925151e-12 5.727951099543382441e-12
3.965599999999999881e+01 5.145887188584552518e-12 5.772439817808283635e-12
3.993699999999999761e+01 5.095836946855669680e-12 5.544432968296320041e-12
4.020300000000000296e+01 5.314405165934843467e-12 5.740927264824557952e-12
4.048400000000000176e+01 1.036221282391114329e-11 8.139621789082784886e-12
4.075000000000000000e+01 1.151151222955615339e-11 8.357449281237716576e-12
4.101500000000000057e+01 1.166907542815565080e-11 8.265672868379425609e-12
4.129599999999999937e+01 1.124272376584745103e-11 8.476996882222920249e-12
4.156199999999999761e+01 1.156156073656156025e-11 8.729099908177939682e-12
4.184300000000000352e+01 1.178956758607352384e-11 8.213769074616461552e-12
4.210900000000000176e+01 1.172653987802085851e-11 8.378749950799235791e-12
4.239000000000000057e+01 1.173024871681249692e-11 8.616022825758129500e-12
4.265599999999999881e+01 1.153375745605034197e-11 8.441777658851901123e-12
4.293699999999999761e+01 1.175063952391086630e-11 8.660512411384768683e-12
4.320300000000000296e+01 1.196010911835854174e-11 9.044230642185624447e-12
4.346800000000000352e+01 1.163385707214636966e-11 8.597486438055579328e-12
4.373400000000000176e+01 1.212879709860947841e-11 8.769883257098154417e-12
4.401500000000000057e+01 1.214547993427794736e-11 8.664220382814669108e-12
4.428099999999999881e+01 1.190820532459557768e-11 8.688318293981200924e-12
4.454599999999999937e+01 1.156712226002554189e-11 8.699440473547426222e-12
4.481199999999999761e+01 1.204537945082018169e-11 8.738370270433559739e-12
4.509300000000000352e+01 1.193786475922609114e-11 8.979349382098877896e-12
4.535900000000000176e+01 1.177473830243913611e-11 8.599340857451398534e-12
4.562500000000000000e+01 1.163941772824861332e-11 8.458458759796894100e-12
4.590599999999999881e+01 1.158936661915799249e-11 8.647539281869676131e-12
4.617099999999999937e+01 1.134097069727113549e-11 8.480703118929344697e-12
4.643699999999999761e+01 1.129462755961041509e-11 8.410229977717786909e-12
4.670300000000000296e+01 1.154858327023777775e-11 8.473287176069543847e-12
4.698400000000000176e+01 1.156526957535319866e-11 9.086864941054706435e-12
4.726500000000000057e+01 1.147629127146165828e-11 8.781005436664379715e-12
4.753099999999999881e+01 1.155785363249339781e-11 8.282356571409632551e-12
4.779599999999999937e+01 1.187483791853516379e-11 8.955252338294084069e-12
4.806199999999999761e+01 1.168020020980709006e-11 8.473929891117393254e-12
4.834300000000000352e+01 1.182849564823618138e-11 8.382458789590874204e-12
4.860900000000000176e+01 1.166166208738106391e-11 8.638268919614056074e-12
4.887500000000000000e+01 1.179883621360566792e-11 8.725391936748039257e-12
4.914000000000000057e+01 1.191932923888527895e-11 8.734189586856455634e-12
4.942099999999999937e+01 1.179142200546934305e-11 8.393848983934137920e-12
4.968699999999999761e+01 1.148185366228737792e-11 8.675342562380894407e-12
4.995300000000000296e+01 1.175249394330668551e-11 8.469580939363119398e-12
5.023400000000000176e+01 1.184332579923230711e-11 8.816224660035398841e-12
5.050000000000000000e+01 1.168077266855416241e-11 8.577093896233733972e-12
5.076500000000000057e+01 1.176267156594024144e-11 8.810663136571417198e-12
5.103099999999999881e+01 1.152819593258636033e-11 8.890372812930813495e-12
5.131199999999999761e+01 1.192465223787131379e-11 9.112817271617057457e-12
5.157800000000000296e+01 1.156341689068085543e-11 8.875542661934687771e-12
5.184300000000000352e+01 1.190079024909751482e-11 8.671632856227518005e-12
5.212500000000000000e+01 1.179698352893332469e-11 8.647536679784462166e-12
5.239000000000000057e+01 1.168019934244535207e-11 8.716122441854157188e-12
5.267099999999999937e+01 1.202313509168773109e-11 9.005302580022966907e-12
5.293699999999999761e+01 1.211396608025161470e-11 9.083627947048533713e-12
5.320300000000000296e+01 1.221777366777754281e-11 8.818076477346004083e-12
5.348400000000000176e+01 1.205650163038640699e-11 8.654951755282525028e-12
5.375000000000000000e+01 1.204352503142436248e-11 9.127646555251445193e-12
5.401500000000000057e+01 1.210469658535773263e-11 8.634562682907631626e-12
5.428099999999999881e+01 1.180069063300148713e-11 8.714270624543551946e-12
5.456199999999999761e+01 1.216216537203163028e-11 8.836614599772030232e-12
5.482800000000000296e+01 1.214918790570784779e-11 9.073890944177875895e-12
5.509300000000000352e+01 1.210099208337478416e-11 8.751345134672128268e-12
5.535900000000000176e+01 1.224928665444213749e-11 8.868128453798362898e-12
5.564000000000000057e+01 1.216772342604865997e-11 8.897989983713827655e-12
5.590599999999999881e+01 1.234753185114234597e-11 9.133208946077164825e-12
5.617099999999999937e+01 1.204167147939028126e-11 8.721684832679876820e-12
5.645300000000000296e+01 1.227709253703856973e-11 8.740220353020689004e-12
5.671800000000000352e+01 1.221221301167529916e-11 8.968968796818632683e-12
5.698400000000000176e+01 1.221962721981162403e-11 8.942275739332039564e-12
5.725000000000000000e+01 1.202498777636007432e-11 9.064620581922255838e-12
5.753099999999999881e+01 1.246617132438787579e-11 8.962666546430408943e-12
5.779599999999999937e+01 1.232899806552500976e-11 8.816223792673660853e-12
5.806199999999999761e+01 1.187187327611471943e-11 8.844029675270093094e-12
5.834300000000000352e+01 1.220479620145376032e-11 8.983058220890516310e-12
5.860900000000000176e+01 1.261817473424686753e-11 9.081303417590724791e-12
5.887500000000000000e+01 1.220108996474733587e-11 9.211062468317265939e-12
5.914000000000000057e+01 1.246617045702613780e-11 8.938569502625615115e-12
5.942099999999999937e+01 1.244948762135766884e-11 8.686463874585381717e-12
5.970300000000000296e+01 1.239572940819888558e-11 9.025694254483074275e-12
5.996800000000000352e+01 1.232528749200989537e-11 8.659569589175575288e-12
6.023400000000000176e+01 1.220294438414315508e-11 8.710530560729345950e-12
6.050000000000000000e+01 1.274608110030106545e-11 8.856130238876769312e-12
6.078099999999999881e+01 1.239202490621593711e-11 9.275942861042274501e-12
6.104599999999999937e+01 1.229006913600061424e-11 9.242578057067074582e-12
6.131199999999999761e+01 1.263991342148607089e-11 9.027544337070203539e-12
6.157800000000000296e+01 1.287769196833821184e-11 9.148036494988076583e-12
6.185900000000000176e+01 1.258295464351411042e-11 8.988617142269283988e-12
6.212500000000000000e+01 1.259036798428869730e-11 9.046085061581443654e-12
6.239000000000000057e+01 1.265339482497962464e-11 9.563268579815265014e-12
6.267099999999999937e+01 1.251065657320582503e-11 8.957104155604689311e-12
6.293699999999999761e+01 1.238875321774024485e-11 9.394579732202590350e-12
6.320300000000000296e+01 1.226411767280000120e-11 9.485414190213425911e-12
6.346800000000000352e+01 1.258110195884176719e-11 9.248137845807580248e-12
6.375000000000000000e+01 1.230119131556683953e-11 8.875544396658163748e-12
6.403100000000000591e+01 1.254031860992155245e-11 9.027545204431941528e-12
6.429600000000000648e+01 1.229748247677520112e-11 9.281503517144518156e-12
6.456199999999999761e+01 1.238831433270082272e-11 9.070889005202698030e-12
6.484300000000000352e+01 1.266266345251176872e-11 9.257405605977986340e-12
6.510899999999999466e+01 1.269417470445288743e-11 9.320432446668913684e-12
6.539000000000000057e+01 1.250324496715471412e-11 9.311163819136769604e-12
6.565600000000000591e+01 1.281281331033667925e-11 9.429799822935347464e-12
6.592100000000000648e+01 1.233051334648127551e-11 8.849591198734074737e-12
6.618699999999999761e+01 1.234753185114234597e-11 9.055352821751849746e-12
6.646800000000000352e+01 1.284432629700127393e-11 9.268527785544211639e-12
6.673399999999999466e+01 1.277017727674412129e-11 9.518610726011456080e-12
6.700000000000000000e+01 1.262002655155747277e-11 9.062767029888174619e-12
6.728100000000000591e+01 1.302228203742261670e-11 9.366773849606158109e-12
6.754600000000000648e+01 1.293515815292689553e-11 9.121849976756468692e-12
6.781199999999999761e+01 1.287769283569994982e-11 9.307457582430345155e-12
6.807800000000000296e+01 1.239572854083714759e-11 9.320433314030651673e-12
6.835899999999999466e+01 1.310940678928007586e-11 9.351945433333508362e-12
6.862500000000000000e+01 1.292403684072240821e-11 9.168426434724707974e-12
6.889000000000000057e+01 1.291662089786260736e-11 9.178269255727400378e-12
6.915600000000000591e+01 1.339302280189968997e-11 9.227747038709210869e-12
6.943699999999999761e+01 1.330404536536988758e-11 9.245610353703082041e-12
6.970300000000000296e+01 1.337819438562704022e-11 9.650390729587510208e-12
6.996800000000000352e+01 1.301486609456281585e-11 9.196232317321140215e-12
7.025000000000000000e+01 1.310755497196947061e-11 9.246283426411761042e-12
7.051500000000000057e+01 1.315945529628548272e-11 9.600341355220365358e-12
7.079600000000000648e+01 1.320765198598028434e-11 9.474290275923724636e-12
7.106199999999999761e+01 1.262002655155747277e-11 9.266672498786654444e-12
7.132800000000000296e+01 1.303525776902292321e-11 9.413116119905140522e-12
7.160899999999999466e+01 1.322248126961467207e-11 9.437214031071672338e-12
7.187500000000000000e+01 1.282949788072862418e-11 9.101695959412570147e-12
7.215600000000000591e+01 1.298150302531109190e-11 9.294480116106562662e-12
7.242100000000000648e+01 1.314833311671925742e-11 9.162867513345940296e-12
7.268699999999999761e+01 1.300003854565190409e-11 9.364920297572076890e-12
7.296800000000000352e+01 1.321135995741018476e-11 9.270379602854816881e-12
7.323399999999999466e+01 1.299447788954966043e-11 9.320432446668913684e-12
7.350000000000000000e+01 1.301857580071619225e-11 9.696734734609968598e-12
7.376500000000000057e+01 1.318170139014140929e-11 9.702296258073950241e-12
7.404600000000000648e+01 1.312403484499125028e-11 9.424239166833103809e-12
7.431199999999999761e+01 1.338004620293764546e-11 9.500241739124337670e-12
7.459300000000000352e+01 1.332628885714060019e-11 9.405702779130553637e-12
7.485899999999999466e+01 1.298891549872394080e-11 9.565121264487608244e-12
7.512500000000000000e+01 1.318911559827773416e-11 9.655109177442167123e-12
7.540600000000000591e+01 1.344678014769673524e-11 9.457606572893517694e-12
7.568699999999999761e+01 1.324658004814294188e-11 9.756052736509257528e-12
7.595300000000000296e+01 1.316501681974946436e-11 9.846882857711403148e-12
7.621800000000000352e+01 1.331513285046659334e-11 9.277797280438093708e-12
7.648399999999999466e+01 1.302784269352486035e-11 9.529899439031375152e-12
7.676500000000000057e+01 1.287398399690831141e-11 9.416824091335040947e-12
7.704600000000000648e+01 1.345790319462469853e-11 9.785712171139770987e-12
7.731199999999999761e+01 1.343751152016459116e-11 9.589220910377616036e-12
7.757800000000000296e+01 1.349312241799571765e-11 9.450192364757192820e-12
7.785899999999999466e+01 1.340970563756815892e-11 9.318578894634832466e-12
7.812500000000000000e+01 1.326882527463713046e-11 9.435361346399329108e-12
7.840600000000000591e+01 1.345790492934817451e-11 9.393031491500281049e-12
7.867100000000000648e+01 1.365810329417849189e-11 9.542877772716895635e-12
7.893699999999999761e+01 1.365439445538685348e-11 9.676342192788123242e-12
7.921800000000000352e+01 1.317243276260926521e-11 9.342675071077888305e-12
7.948399999999999466e+01 1.335965539583927608e-11 9.763466077283844413e-12
7.976500000000000057e+01 1.341712071306622178e-11 9.342676805801364281e-12
8.003100000000000591e+01 1.388796109363932274e-11 9.232870544495508369e-12
8.029600000000000648e+01 1.301857580071619225e-11 9.437215765795148315e-12
8.057800000000000296e+01 1.368405562474084292e-11 9.895081282129680744e-12
8.084300000000000352e+01 1.321135995741018476e-11 9.895079547406204767e-12
