Start time (s) =
1552312810
'Reltime', '44.00[A]', '28.00[A]'
0.000000000000000000e+00 4.676899059002925796e-12 5.296204880905763801e-12
2.660000000000000142e-01 4.432209807503362242e-12 5.046864835767106428e-12
5.310000000000000275e-01 4.734363942549002502e-12 5.264524059744868367e-12
8.129999999999999449e-01 4.574944589830209907e-12 5.379452959475283791e-12
1.078000000000000069e+00 4.487820705334488736e-12 5.185184746847593118e-12
1.343999999999999861e+00 4.925296715613258769e-12 5.239785601934832115e-12
1.609999999999999876e+00 4.644644911733220027e-12 5.106959560102763973e-12
1.891000000000000014e+00 4.330255772011515347e-12 5.260816521995836936e-12
2.156000000000000139e+00 4.624623600735233708e-12 5.650094975218067361e-12
2.422000000000000153e+00 4.574945457191947895e-12 5.474564811897009164e-12
2.702999999999999847e+00 4.662068474325931078e-12 4.999545048789411084e-12
2.968999999999999861e+00 4.760316706792222519e-12 5.086568319323525600e-12
3.250000000000000000e+00 4.713804433592594378e-12 5.466577711332742950e-12
3.516000000000000014e+00 4.361770059718717008e-12 5.579654360071684138e-12
3.781000000000000139e+00 4.567530815374754027e-12 5.333111122857170372e-12
4.062999999999999723e+00 4.710266465063339680e-12 5.360917439134471607e-12
4.328000000000000291e+00 4.762169825145434743e-12 5.346087721819214877e-12
4.594000000000000306e+00 4.574944589830209907e-12 5.101397169277044341e-12
4.875000000000000000e+00 4.676899926364663784e-12 5.318280538180175654e-12
5.141000000000000014e+00 4.213472019204411723e-12 5.023542345994336245e-12
5.421999999999999709e+00 4.654654266189606204e-12 5.442479800166211135e-12
5.687999999999999723e+00 4.513774770620315735e-12 5.455456399128255640e-12
5.953000000000000291e+00 4.465577213563776127e-12 5.327145408823286132e-12
6.219000000000000306e+00 4.491528676764389161e-12 5.073591720361481094e-12
6.500000000000000000e+00 4.789974406699260001e-12 5.434526093028857474e-12
6.780999999999999694e+00 4.461869675814744696e-12 5.075446573438169295e-12
7.046999999999999709e+00 4.502651290011483454e-12 5.247841224076399413e-12
7.312999999999999723e+00 4.469285184993676552e-12 5.195936562951697368e-12
7.578000000000000291e+00 4.756609169043191088e-12 5.236719044510174115e-12
7.860000000000000320e+00 4.541578918493271999e-12 5.262670507710787149e-12
8.125000000000000000e+00 4.613873519354605435e-12 5.160716905899809248e-12
8.391000000000000014e+00 4.678753044717876008e-12 5.390576006403247078e-12
8.672000000000000597e+00 4.712119583416551905e-12 5.427649649170085411e-12
8.938000000000000611e+00 4.474845407415051213e-12 4.932709622706976660e-12
9.218999999999999417e+00 4.443331553388718547e-12 5.285284796624489800e-12
9.484999999999999432e+00 4.480844948556717000e-12 5.225595997582210828e-12
9.750000000000000000e+00 4.534164276676078131e-12 5.207059176198791661e-12
1.003100000000000058e+01 4.291328577210595796e-12 5.203351204768891236e-12
1.029700000000000060e+01 4.358061654607947588e-12 5.168130680355265127e-12
1.056300000000000061e+01 4.530455871565308712e-12 5.132911456984246001e-12
1.082799999999999940e+01 4.311719384308965175e-12 5.268231597493899798e-12
1.110999999999999943e+01 4.398843268804686346e-12 5.016126836815404388e-12
1.137500000000000000e+01 4.571237485762047470e-12 5.244132818965629994e-12
1.165600000000000058e+01 4.589775608188073619e-12 5.301597268830837706e-12
1.192200000000000060e+01 4.367330715820960663e-12 5.275645805630224672e-12
1.218800000000000061e+01 4.589775608188073619e-12 5.251547894463692856e-12
1.246899999999999942e+01 4.599044669401086693e-12 5.064323092829337014e-12
1.273499999999999943e+01 4.634265627495581796e-12 5.309013211690638556e-12
1.300000000000000000e+01 4.304303875130033319e-12 4.980907613444385262e-12
1.328100000000000058e+01 4.541579352174140993e-12 4.964224344095047314e-12
1.354700000000000060e+01 4.157861988735023218e-12 4.893985390552746395e-12
1.381300000000000061e+01 4.335243969366686656e-12 5.138471245724751668e-12
1.409399999999999942e+01 4.509964450505332678e-12 5.249693908748742643e-12
1.437500000000000000e+01 4.224595066132375010e-12 5.145888055946290507e-12
1.464100000000000001e+01 4.467431199278726339e-12 5.718681604649500372e-12
1.490600000000000058e+01 4.460016123780663477e-12 4.993884212406429768e-12
1.518800000000000061e+01 4.271543622286211317e-12 5.158862920184859036e-12
1.545299999999999940e+01 4.419234943264793714e-12 5.118081739668989272e-12
1.571899999999999942e+01 4.189644291219263295e-12 5.030957421492399106e-12
1.600000000000000000e+01 4.174544824403492171e-12 5.145145160617703439e-12
1.626599999999999824e+01 4.465577647244645121e-12 4.956809268596984452e-12
1.653099999999999881e+01 4.332110191407334554e-12 5.330785726037623462e-12
1.681299999999999883e+01 4.497224641297759007e-12 5.110665796809188421e-12
1.710999999999999943e+01 4.511919050181889546e-12 5.294183928056250821e-12
1.737500000000000000e+01 4.576799876587767102e-12 5.101398036638782330e-12
1.764099999999999824e+01 4.389574207591673272e-12 5.006859076644998297e-12
1.790599999999999881e+01 4.523042530790721827e-12 5.386868034973346653e-12
1.818799999999999883e+01 4.537871814425109562e-12 5.039585502381038751e-12
1.845299999999999940e+01 4.346939908722591284e-12 5.175546189534196984e-12
1.871900000000000119e+01 4.363622310710191243e-12 4.934564042102795867e-12
1.900000000000000000e+01 4.448893510533569184e-12 5.351647076878851550e-12
1.926599999999999824e+01 4.144885389772978712e-12 5.160716038538071260e-12
1.953099999999999881e+01 4.689875657964970301e-12 5.252525844823274781e-12
1.981299999999999883e+01 4.380306447421267180e-12 4.847441024968812684e-12
2.007799999999999940e+01 4.369183834174172887e-12 5.057786221090987411e-12
2.035999999999999943e+01 4.096690434801653069e-12 5.414673917569778894e-12
2.062500000000000000e+01 4.384013985170298611e-12 5.114374201919957841e-12
2.089099999999999824e+01 4.389574207591673272e-12 5.194082143555878162e-12
2.117200000000000060e+01 4.474844973734182219e-12 5.140325231439701881e-12
2.143799999999999883e+01 4.306156993483245543e-12 5.341705376638028469e-12
2.171900000000000119e+01 4.369183834174172887e-12 4.827049784189574311e-12
2.198499999999999943e+01 4.393281745340704703e-12 5.203385031876672784e-12
2.226599999999999824e+01 4.361770493399586002e-12 5.108813112136845191e-12
2.253099999999999881e+01 4.037369830817150174e-12 5.121789277418020703e-12
2.279700000000000060e+01 4.560115739876691165e-12 5.160716905899809248e-12
2.307799999999999940e+01 4.018563693614085608e-12 5.121484833447986773e-12
2.334400000000000119e+01 4.591627859179547855e-12 5.231157954727061465e-12
2.362500000000000000e+01 4.308011846559933744e-12 5.299744584158494476e-12
2.389099999999999824e+01 4.311718516947227187e-12 4.858562337173299994e-12
2.415599999999999881e+01 4.395136164736523909e-12 5.042078733696886417e-12
2.443799999999999883e+01 4.122641464321397109e-12 5.301597702511706700e-12
2.471900000000000119e+01 4.211484026100942302e-12 5.188521921134503501e-12
2.498499999999999943e+01 4.454455033997550828e-12 4.825195364793755104e-12
2.525000000000000000e+01 4.113372836789253029e-12 4.784784981420875383e-12
2.551599999999999824e+01 4.298744086389527652e-12 4.910465263574526062e-12
2.579700000000000060e+01 4.228302603881406441e-12 5.278005029557553129e-12
2.606299999999999883e+01 4.369183834174172887e-12 4.934564909464533855e-12
2.632799999999999940e+01 4.198643602931761976e-12 5.359062586057783406e-12
2.659400000000000119e+01 4.191228093752830119e-12 5.153301830401746386e-12
2.687500000000000000e+01 4.342525037476230310e-12 5.064323092829337014e-12
2.714099999999999824e+01 4.428503570796937794e-12 5.281207329094206315e-12
2.740599999999999881e+01 4.358062088288816582e-12 5.197790982347516575e-12
2.768799999999999883e+01 4.359916074003766795e-12 5.181106845636440639e-12
2.795299999999999940e+01 4.343231937292690858e-12 5.127350367201133352e-12
2.821900000000000119e+01 4.278351978248551291e-12 5.016128137858011371e-12
2.848499999999999943e+01 4.089274491941852219e-12 5.265265654030848452e-12
2.876599999999999824e+01 4.278351978248551291e-12 4.895636413621007321e-12
2.904700000000000060e+01 4.252400515047938256e-12 5.281206895413337321e-12
2.931299999999999883e+01 4.276499293576208061e-12 5.086568319323525600e-12
2.957799999999999940e+01 4.120787912287315891e-12 4.990174939933922360e-12
2.984400000000000119e+01 4.363622744391060237e-12 5.125124283300586114e-12
3.012500000000000000e+01 4.107744960152315272e-12 4.956809268596984452e-12
3.039099999999999824e+01 4.073164115020455611e-12 4.940125131885908516e-12
3.065599999999999881e+01 4.172691706050279947e-12 5.060616422442043572e-12
3.093799999999999883e+01 4.220585252817654620e-12 5.047640257160868060e-12
3.120299999999999940e+01 4.402551240234586771e-12 4.988322688942448124e-12
3.146900000000000119e+01 4.131910959215279178e-12 4.984613850150809711e-12
3.173499999999999943e+01 4.339524399543659428e-12 5.207059176198791661e-12
3.201599999999999824e+01 4.211484893462680290e-12 5.140325665120570875e-12
3.229699999999999704e+01 4.152300465271041574e-12 5.034124592878663762e-12
3.256300000000000239e+01 4.045864337998139604e-12 4.875246040203506936e-12
3.284400000000000119e+01 4.211484893462680290e-12 4.990175807295660348e-12
3.312500000000000000e+01 4.443331987069587541e-12 5.121788410056282714e-12
3.339099999999999824e+01 4.209663867493773637e-12 4.776999542460691472e-12
3.367199999999999704e+01 4.504503974683826684e-12 5.029103435777448894e-12
3.393800000000000239e+01 4.078152312375626920e-12 4.960515938984277895e-12
3.420300000000000296e+01 4.231505337098928621e-12 5.342379316708445458e-12
3.448499999999999943e+01 4.371037819889123099e-12 5.075445272395562313e-12
3.476599999999999824e+01 4.278353279291158273e-12 5.233011506761142684e-12
3.503099999999999881e+01 4.207912230463906056e-12 5.042079167377755411e-12
3.531300000000000239e+01 4.102251090903896724e-12 4.982759864435859498e-12
3.557800000000000296e+01 4.300663557915695989e-12 4.916028088081114689e-12
3.584400000000000119e+01 4.039225117574707369e-12 5.010566614394029727e-12
3.612500000000000000e+01 4.256983654471468981e-12 5.021687926598517038e-12
3.639099999999999824e+01 4.170837720335329735e-12 5.027249016381629687e-12
3.665599999999999881e+01 4.536017395029290356e-12 5.042079167377755411e-12
3.693800000000000239e+01 4.130056106138590977e-12 4.770225447287002041e-12
3.721900000000000119e+01 3.979906681994549444e-12 4.934564909464533855e-12
3.748499999999999943e+01 3.953043187926441604e-12 5.075446139757300301e-12
3.776599999999999824e+01 4.295203949455927983e-12 5.025396765390155451e-12
3.803099999999999881e+01 4.232010575311306866e-12 5.068705004329654429e-12
3.831300000000000239e+01 4.206057811068086849e-12 4.886367786088863241e-12
3.859400000000000119e+01 4.009565682944193910e-12 5.149593858971845961e-12
3.887500000000000000e+01 4.610065801324836343e-12 5.318281405541913642e-12
3.914099999999999824e+01 4.211618900851199498e-12 5.106958692741025985e-12
3.940599999999999881e+01 3.980344265991364594e-12 4.901196636042381982e-12
3.967199999999999704e+01 4.277004098107717311e-12 5.119935725383939484e-12
3.995300000000000296e+01 4.052199548132406903e-12 5.062470408156993784e-12
4.023499999999999943e+01 4.187824566292963624e-12 4.906759460548970608e-12
4.050000000000000000e+01 4.044785339996082030e-12 5.060616422442043572e-12
4.076599999999999824e+01 4.050346863460063673e-12 4.739284052007741721e-12
4.103099999999999881e+01 4.157861555054154223e-12 4.988624964508137083e-12
4.131300000000000239e+01 4.046638458349294254e-12 4.741779018047065364e-12
4.159400000000000119e+01 4.244986306911613383e-12 4.971638985912241182e-12
