Start time (s) =
1552319805
'Reltime', 'DEFAU[mV]', '44.00[A]', '28.00[A]'
0.000000000000000000e+00 1.467343750000000000e+03 4.004618511799229452e-11 2.867374046533477383e-11
1.483999999999999986e+00 1.465781250000000000e+03 3.948673332754282228e-11 2.893015861593628557e-11
2.983999999999999986e+00 1.466093750000000000e+03 3.943514959026117594e-11 2.880844347796784888e-11
4.483999999999999986e+00 1.465156250000000000e+03 3.906974743728142130e-11 2.876925780936900878e-11
5.969000000000000306e+00 1.465937500000000000e+03 3.885235883016591174e-11 2.839073594274044154e-11
7.453000000000000291e+00 1.465000000000000000e+03 3.843967158467798129e-11 2.855186399808307129e-11
8.952999999999999403e+00 1.465156250000000000e+03 3.902861020477210729e-11 2.856783733184986573e-11
1.043699999999999939e+01 1.466718750000000000e+03 3.774388787625149178e-11 2.824972200610176287e-11
1.192200000000000060e+01 1.466250000000000000e+03 3.821858801655864113e-11 2.831359105504027696e-11
1.342200000000000060e+01 1.465937500000000000e+03 3.753445471099681185e-11 2.821717338952201004e-11
1.490600000000000058e+01 1.465312500000000000e+03 3.767754858108318672e-11 2.819752764615657270e-11
1.639099999999999824e+01 1.465937500000000000e+03 3.678155696684726195e-11 2.773080202966848873e-11
1.789099999999999824e+01 1.465000000000000000e+03 3.678035306875493404e-11 2.779281839393465958e-11
1.937500000000000000e+01 1.465468750000000000e+03 3.720223087921858962e-11 2.803729644285102296e-11
2.085900000000000176e+01 1.467187500000000000e+03 3.668330916806183950e-11 2.765420011041630488e-11
2.235900000000000176e+01 1.466406250000000000e+03 3.650215199546558154e-11 2.742313147396924222e-11
2.385900000000000176e+01 1.467343750000000000e+03 3.654820890375276576e-11 2.758993207507831613e-11
2.535900000000000176e+01 1.467343750000000000e+03 3.651073887667166673e-11 2.697882195423773055e-11
2.684400000000000119e+01 1.467031250000000000e+03 3.598567971385691067e-11 2.697973962295652228e-11
2.832799999999999940e+01 1.465000000000000000e+03 3.587636437929475619e-11 2.697574108534439574e-11
2.982799999999999940e+01 1.466250000000000000e+03 3.567125067549525852e-11 2.683919059220940539e-11
3.132799999999999940e+01 1.466406250000000000e+03 3.532550987839222500e-11 2.673475850423212563e-11
3.281199999999999761e+01 1.465000000000000000e+03 3.527821090809624138e-11 2.628122372505536930e-11
3.429699999999999704e+01 1.465937500000000000e+03 3.503135628801778978e-11 2.680952855549367797e-11
3.579699999999999704e+01 1.467500000000000000e+03 3.514864788112248561e-11 2.695456531587314686e-11
3.728099999999999881e+01 1.467031250000000000e+03 3.506941612108072093e-11 2.659285638917374683e-11
3.876599999999999824e+01 1.464843750000000000e+03 3.470279272277387861e-11 2.667206906725727578e-11
4.026599999999999824e+01 1.464843750000000000e+03 3.447864910244291536e-11 2.637390653092985815e-11
4.175000000000000000e+01 1.465468750000000000e+03 3.435706233401170095e-11 2.650011633742455075e-11
4.323400000000000176e+01 1.465625000000000000e+03 3.390014657878026583e-11 2.602169868470838310e-11
4.473400000000000176e+01 1.466875000000000000e+03 3.377180826658054968e-11 2.635519580351797231e-11
4.621900000000000119e+01 1.467343750000000000e+03 3.412553226112002847e-11 2.575909277546806209e-11
4.770300000000000296e+01 1.466718750000000000e+03 3.361520783951021940e-11 2.622623299086690452e-11
4.920300000000000296e+01 1.465000000000000000e+03 3.398060999248997405e-11 2.567011186949130774e-11
5.070300000000000296e+01 1.465468750000000000e+03 3.340578855204334729e-11 2.612551494585169110e-11
5.220300000000000296e+01 1.467343750000000000e+03 3.367723114267029416e-11 2.598956987120981665e-11
5.368699999999999761e+01 1.465000000000000000e+03 3.297838044313827766e-11 2.604085003188316705e-11
5.517199999999999704e+01 1.467343750000000000e+03 3.314112873020746974e-11 2.948443919570387095e-11
5.667199999999999704e+01 1.475000000000000000e+03 3.358511038720202180e-11 2.785055519538559565e-11
5.815599999999999881e+01 1.490625000000000000e+03 3.479001114969904052e-11 2.771969806469876119e-11
5.964099999999999824e+01 1.506250000000000000e+03 3.769967671374274687e-11 2.926853898133074949e-11
6.114099999999999824e+01 1.525625000000000000e+03 4.221707705642785413e-11 3.234778764293899656e-11
6.262500000000000000e+01 1.553750000000000000e+03 4.504135953098398204e-11 3.495533029695963023e-11
6.412500000000000000e+01 1.577343750000000000e+03 4.560326768987543744e-11 3.550525845552598980e-11
6.560899999999999466e+01 1.604218750000000000e+03 4.513593318544728561e-11 3.505788714885937907e-11
6.710899999999999466e+01 1.615468750000000000e+03 4.416379414950988291e-11 3.450054825160364658e-11
6.860899999999999466e+01 1.678750000000000000e+03 4.275688136878841306e-11 3.395296196972985570e-11
7.009399999999999409e+01 1.687187500000000000e+03 4.252840787866141170e-11 3.388848923702170168e-11
7.159399999999999409e+01 1.710156250000000000e+03 4.146477605715404025e-11 3.410571131068351747e-11
7.307800000000000296e+01 1.731250000000000000e+03 4.097841163619442284e-11 3.404393086881007946e-11
7.457800000000000296e+01 1.762812500000000000e+03 4.045209653358305957e-11 3.374479168316568689e-11
7.606199999999999761e+01 1.788593750000000000e+03 3.939891121684802044e-11 3.358205033499039871e-11
7.754699999999999704e+01 1.815468750000000000e+03 3.877191623313791524e-11 3.266229300913359168e-11
7.904699999999999704e+01 1.842656250000000000e+03 3.798093436979677051e-11 3.246889562769084137e-11
8.053100000000000591e+01 1.865000000000000000e+03 3.759282121706952751e-11 3.201914428041519045e-11
8.201600000000000534e+01 1.893593750000000000e+03 3.645485996406350182e-11 3.228290551549051202e-11
