Start time (s) =
1547812146
'Reltime', '44.00[A]'
0.000000000000000000e+00 1.846846807429525228e-11
1.409999999999999865e-01 1.869726942715921325e-11
2.660000000000000142e-01 1.915487039816365922e-11
3.910000000000000142e-01 1.923404838177766862e-11
5.320000000000000284e-01 1.882239329675794437e-11
6.570000000000000284e-01 1.987702016870152022e-11
7.820000000000000284e-01 1.897611928702858108e-11
9.220000000000000417e-01 1.862934632945734137e-11
1.046999999999999931e+00 1.964822228528451120e-11
1.171999999999999931e+00 1.830759675802706710e-11
1.296999999999999931e+00 1.907979503557033496e-11
1.437999999999999945e+00 1.865079271579084264e-11
1.562999999999999945e+00 1.950522035554236311e-11
1.687999999999999945e+00 1.807521840535564195e-11
1.828999999999999959e+00 1.751036815544892988e-11
1.953999999999999959e+00 1.890104739388220878e-11
2.079000000000000181e+00 1.879379291080951475e-11
2.218999999999999861e+00 1.872586634366069092e-11
2.343999999999999861e+00 1.842199483237383362e-11
2.468999999999999861e+00 1.798584198242636489e-11
2.609999999999999876e+00 1.933719330493577360e-11
2.734999999999999876e+00 1.838981918134141580e-11
2.859999999999999876e+00 1.781781666654325136e-11
3.000000000000000000e+00 1.935507136507919057e-11
3.125000000000000000e+00 1.891534498477120962e-11
3.250000000000000000e+00 1.890461918951924503e-11
3.391000000000000014e+00 1.924424508636946030e-11
3.516000000000000014e+00 1.898326634774960553e-11
3.641000000000000014e+00 1.925497261634490087e-11
3.782000000000000028e+00 1.873301860855214329e-11
3.922000000000000153e+00 1.804304622377017608e-11
4.046999999999999709e+00 1.885099541742984997e-11
4.171999999999999709e+00 1.856499329266902976e-11
4.312999999999999723e+00 1.804304275432322413e-11
4.437999999999999723e+00 1.797511792189787627e-11
4.578999999999999737e+00 1.836121706066951020e-11
4.703999999999999737e+00 1.888674459882278001e-11
4.828999999999999737e+00 1.904046885436994074e-11
4.969000000000000306e+00 1.853996643708111236e-11
5.094000000000000306e+00 1.871871928293966647e-11
5.219000000000000306e+00 1.913342054238320600e-11
5.360000000000000320e+00 1.832189261419259196e-11
5.485000000000000320e+00 1.892249378021571005e-11
5.625000000000000000e+00 1.934434383510375000e-11
5.750000000000000000e+00 1.909766962626679998e-11
5.891000000000000014e+00 1.848277086935468105e-11
6.016000000000000014e+00 1.931931697951583260e-11
6.141000000000000014e+00 1.882954556164939675e-11
6.282000000000000028e+00 1.943424934869319998e-11
6.407000000000000028e+00 1.960889436936064101e-11
6.532000000000000028e+00 2.035964626057040761e-11
6.657000000000000028e+00 1.806449434482715333e-11
6.796999999999999709e+00 1.861861879948190079e-11
6.921999999999999709e+00 1.965894808053647580e-11
7.046999999999999709e+00 1.964822055056103522e-11
7.187999999999999723e+00 1.845416701395929948e-11
7.312999999999999723e+00 1.855426923214054113e-11
7.437999999999999723e+00 1.825396951649072008e-11
7.578999999999999737e+00 1.815386903303295441e-11
7.719000000000000306e+00 1.835049646958797354e-11
7.844000000000000306e+00 1.870442342677414160e-11
7.985000000000000320e+00 1.959817030883215239e-11
8.109999999999999432e+00 1.963749302058559465e-11
8.250000000000000000e+00 1.895466769652465189e-11
8.375000000000000000e+00 1.890104565915873280e-11
8.500000000000000000e+00 1.964821881583755925e-11
8.641000000000000014e+00 1.886172294740529054e-11
8.766000000000000014e+00 1.998784471268777452e-11
8.891000000000000014e+00 1.887244353848682721e-11
9.016000000000000014e+00 1.896539522650009246e-11
9.157000000000000028e+00 1.945874711362094445e-11
9.282000000000000028e+00 1.842914189309485806e-11
9.407000000000000028e+00 1.879379464553299073e-11
9.547000000000000597e+00 1.830401802349612694e-11
9.672000000000000597e+00 1.922279349586553110e-11
9.797000000000000597e+00 1.927641900267840214e-11
9.938000000000000611e+00 1.874732313833504804e-11
1.007900000000000063e+01 1.761404737343763571e-11
1.020400000000000063e+01 1.934434556982722597e-11
1.034399999999999942e+01 1.906549570995785814e-11
1.046899999999999942e+01 1.859359367861745937e-11
1.060999999999999943e+01 1.835764526503247396e-11
1.073499999999999943e+01 1.829686922805162652e-11
1.085999999999999943e+01 1.786071984755110975e-11
1.100000000000000000e+01 1.885814421287435039e-11
1.112500000000000000e+01 1.862577279909682915e-11
1.125000000000000000e+01 1.979122074557970734e-11
1.137500000000000000e+01 1.903689358928595254e-11
1.151600000000000001e+01 1.853281937636008792e-11
1.165700000000000003e+01 1.974117050385082450e-11
1.178200000000000003e+01 1.813241917725250119e-11
1.190700000000000003e+01 1.913699407274371822e-11
1.204700000000000060e+01 1.834334420469652116e-11
1.217200000000000060e+01 1.693479211029025322e-11
1.229700000000000060e+01 1.854354343688857654e-11
1.243800000000000061e+01 1.865079271579084264e-11
1.256300000000000061e+01 1.889031986390676821e-11
