Start time (s) =
1547808732
'Reltime', '44.00[A]'
2.778200000000000003e+01 2.033104587462197799e-11
2.790700000000000003e+01 2.169669652274386351e-11
2.803200000000000003e+01 2.198269691278120774e-11
2.817200000000000060e+01 2.124624608190739394e-11
2.829700000000000060e+01 2.242957208853368911e-11
2.842200000000000060e+01 2.146432337424286629e-11
2.856299999999999883e+01 2.144644704882292530e-11
2.868799999999999883e+01 2.107464376621681623e-11
2.881299999999999883e+01 2.098884781254195531e-11
2.895400000000000063e+01 2.175389902936419873e-11
2.907900000000000063e+01 2.154297400192017875e-11
2.920400000000000063e+01 2.111039815178017420e-11
2.934400000000000119e+01 2.071714674811708790e-11
2.946900000000000119e+01 2.138567274656555384e-11
2.960999999999999943e+01 2.098884781254195531e-11
2.973499999999999943e+01 2.087444973819518879e-11
2.987500000000000000e+01 2.093880104026002442e-11
3.000000000000000000e+01 2.204704648012256740e-11
3.012500000000000000e+01 2.187186889934800149e-11
3.026599999999999824e+01 2.192549787560782448e-11
3.039099999999999824e+01 2.098884607781847933e-11
3.053200000000000003e+01 2.069212162725264648e-11
3.065700000000000003e+01 2.166094907607440945e-11
3.078200000000000003e+01 2.130344511908077720e-11
3.092200000000000060e+01 2.165737207626694527e-11
3.104700000000000060e+01 2.134634830008863560e-11
3.117200000000000060e+01 2.092807177556110787e-11
3.131299999999999883e+01 2.168954946202283907e-11
3.145400000000000063e+01 2.136779815586908882e-11
3.157900000000000063e+01 2.117474945384500984e-11
3.170400000000000063e+01 2.139281980728657828e-11
3.184400000000000119e+01 1.984841978275309060e-11
3.196900000000000119e+01 2.221149826564516871e-11
3.210999999999999943e+01 2.046689727419614968e-11
3.223499999999999943e+01 2.048477186489261470e-11
3.237500000000000000e+01 2.151079661616428496e-11
3.250000000000000000e+01 2.101029766832240853e-11
3.262500000000000000e+01 2.148934676038383174e-11
3.276599999999999824e+01 2.163949748557048025e-11
3.289099999999999824e+01 2.099242307762594351e-11
3.301599999999999824e+01 2.158229671367362101e-11
3.314099999999999824e+01 2.152509767650023775e-11
3.328199999999999648e+01 2.193622367085978908e-11
3.340699999999999648e+01 2.157157091842165642e-11
3.353199999999999648e+01 2.176461962044573539e-11
3.367199999999999704e+01 2.193264840577580088e-11
3.381300000000000239e+01 2.167524666696341029e-11
3.393800000000000239e+01 2.105677091024382719e-11
3.406300000000000239e+01 2.192549614088434851e-11
3.420400000000000063e+01 2.041327350210675462e-11
3.432900000000000063e+01 2.039539544196333765e-11
3.445400000000000063e+01 1.959459504374816419e-11
3.459400000000000119e+01 1.992349688006989084e-11
3.471900000000000119e+01 2.194337593575124146e-11
3.484400000000000119e+01 2.106749670549579179e-11
3.498499999999999943e+01 2.168239719713138669e-11
3.510999999999999943e+01 2.111754868194815060e-11
3.523499999999999943e+01 2.050264992503603168e-11
3.537500000000000000e+01 2.195052473119574188e-11
3.550000000000000000e+01 2.012011737773100606e-11
3.564099999999999824e+01 2.119977283998597528e-11
3.576599999999999824e+01 2.100314540343095615e-11
3.589099999999999824e+01 2.016301882401538847e-11
3.603199999999999648e+01 2.124624781663086992e-11
3.615699999999999648e+01 2.096381922223056193e-11
