Start time (s) =
1547811584
'Reltime', '44.00[A]'
0.000000000000000000e+00 1.956599639252321055e-11
1.400000000000000133e-01 1.863292159454132957e-11
2.650000000000000133e-01 1.985557204764454298e-11
4.060000000000000275e-01 2.123195022574186908e-11
5.310000000000000275e-01 1.954454653674275733e-11
6.560000000000000275e-01 1.892607251474665020e-11
7.970000000000000417e-01 1.976262035963127772e-11
9.220000000000000417e-01 1.994494673585034406e-11
1.046999999999999931e+00 1.973759350404336033e-11
1.187000000000000055e+00 1.948734576484589809e-11
1.312000000000000055e+00 1.864364392034634221e-11
1.437000000000000055e+00 1.825754478157470828e-11
1.562000000000000055e+00 1.952309668096230411e-11
1.702999999999999847e+00 1.996639485690732130e-11
1.827999999999999847e+00 2.040612297193877822e-11
1.952999999999999847e+00 1.957672045305169917e-11
2.093999999999999861e+00 1.917274498886012424e-11
2.218999999999999861e+00 1.846131927885075186e-11
2.343999999999999861e+00 1.976619388999178994e-11
2.483999999999999986e+00 1.958386924849619959e-11
2.608999999999999986e+00 2.001644509863620414e-11
2.733999999999999986e+00 2.024166771696922495e-11
2.875000000000000000e+00 1.863649339017836581e-11
3.000000000000000000e+00 1.931216991879480815e-11
3.125000000000000000e+00 1.962319716442006978e-11
3.265000000000000124e+00 1.830044449313561472e-11
3.390000000000000124e+00 1.902974652856492810e-11
3.515000000000000124e+00 1.926569667687338949e-11
3.656000000000000139e+00 1.981267060136016056e-11
3.781000000000000139e+00 1.981981939680466098e-11
3.906000000000000139e+00 2.025954577711264193e-11
4.046999999999999709e+00 2.012727137734593441e-11
4.171999999999999709e+00 1.937294248632870364e-11
4.312000000000000277e+00 1.873301860855214329e-11
4.437000000000000277e+00 2.010939505192599341e-11
4.578000000000000291e+00 1.807521840535564195e-11
4.703000000000000291e+00 1.965894634581299982e-11
4.844000000000000306e+00 1.781424313618273914e-11
4.969000000000000306e+00 1.946946943942595709e-11
5.094000000000000306e+00 1.850422072513513427e-11
5.233999999999999986e+00 1.956599465779973457e-11
5.358999999999999986e+00 2.025597051202865373e-11
5.483999999999999986e+00 1.942656972786505065e-11
5.625000000000000000e+00 2.017732161907481725e-11
5.750000000000000000e+00 1.857214382283700616e-11
5.875000000000000000e+00 1.939439407683263283e-11
6.014999999999999680e+00 1.835764526503247396e-11
6.139999999999999680e+00 2.046332027438868550e-11
6.264999999999999680e+00 2.004861901494514598e-11
6.405999999999999694e+00 1.962676896005710603e-11
6.546999999999999709e+00 1.919061784483311328e-11
6.671999999999999709e+00 1.888674459882278001e-11
6.796999999999999709e+00 1.921206943533704248e-11
6.937000000000000277e+00 1.919419484464057746e-11
7.062000000000000277e+00 1.996281785709985712e-11
7.203000000000000291e+00 1.951952141587831591e-11
7.328000000000000291e+00 1.958387098321967557e-11
7.453000000000000291e+00 1.837393084902494422e-11
7.594000000000000306e+00 1.903689532400942852e-11
7.719000000000000306e+00 1.941942266714402621e-11
7.844000000000000306e+00 1.940511813736112146e-11
7.983999999999999986e+00 1.987701843397804424e-11
8.108999999999999986e+00 1.931574344915532038e-11
8.250000000000000000e+00 1.911554595168674098e-11
8.375000000000000000e+00 2.027384336800164277e-11
8.515000000000000568e+00 1.824324198651527951e-11
8.640000000000000568e+00 1.914771986799568282e-11
8.765000000000000568e+00 1.990919755445741401e-11
8.906000000000000583e+00 1.930859465371081995e-11
9.031000000000000583e+00 1.960531910427665281e-11
9.156000000000000583e+00 1.865436971559830681e-11
9.281000000000000583e+00 1.834334246997304518e-11
9.422000000000000597e+00 1.885099368270637399e-11
9.547000000000000597e+00 1.900829493806099890e-11
9.672000000000000597e+00 1.991992161498590264e-11
9.811999999999999389e+00 2.027027157236460653e-11
9.936999999999999389e+00 1.922279523058900708e-11
1.006199999999999939e+01 1.817889415389739582e-11
1.020299999999999940e+01 1.897612275647553304e-11
1.034399999999999942e+01 1.878306885028102613e-11
1.046899999999999942e+01 1.848991793007570550e-11
1.060899999999999999e+01 1.993421920587490348e-11
1.073399999999999999e+01 1.958387445266662752e-11
1.087500000000000000e+01 1.917274325413664826e-11
1.100000000000000000e+01 1.990204702428943762e-11
1.112500000000000000e+01 1.944444431856151567e-11
1.126500000000000057e+01 1.984126925258511420e-11
1.139000000000000057e+01 1.890462092424272100e-11
1.151500000000000057e+01 1.921921996550501888e-11
1.164000000000000057e+01 2.053124684153750934e-11
1.178100000000000058e+01 1.888316933373879181e-11
1.190600000000000058e+01 2.041327003265980267e-11
