Start time (s) =
1547809886
'Reltime', '44.00[A]'
0.000000000000000000e+00 2.234019740032788803e-11
1.409999999999999865e-01 2.107107023585630401e-11
2.660000000000000142e-01 1.988774596395348482e-11
3.910000000000000142e-01 2.087801979910874905e-11
5.320000000000000284e-01 2.113184800756062742e-11
6.570000000000000284e-01 2.074574886878899349e-11
7.820000000000000284e-01 2.081366849704391342e-11
9.220000000000000417e-01 2.068497109708467008e-11
1.046999999999999931e+00 1.996639659163079727e-11
1.171999999999999931e+00 2.015587002857088805e-11
1.312999999999999945e+00 2.094237457062053664e-11
1.437999999999999945e+00 2.198984397350223219e-11
1.562999999999999945e+00 2.109609362199726945e-11
1.703999999999999959e+00 1.974117223857430048e-11
1.828999999999999959e+00 2.032747060953798979e-11
1.953999999999999959e+00 2.012012084717795801e-11
2.093999999999999861e+00 2.103532452391032592e-11
2.218999999999999861e+00 1.996281959182333310e-11
2.343999999999999861e+00 2.114972086353361647e-11
2.484999999999999876e+00 2.146789690460337852e-11
2.625000000000000000e+00 2.038109958579781278e-11
2.750000000000000000e+00 2.151437188124827316e-11
2.891000000000000014e+00 2.222937632578858569e-11
3.016000000000000014e+00 2.110999743065722356e-11
3.141000000000000014e+00 2.142857072340298430e-11
3.282000000000000028e+00 2.120334810506996348e-11
3.407000000000000028e+00 2.141785013232144763e-11
3.532000000000000028e+00 2.156084685789316779e-11
3.672000000000000153e+00 1.989847002448197344e-11
3.797000000000000153e+00 2.076004645967799433e-11
3.922000000000000153e+00 2.216502328900027408e-11
4.062999999999999723e+00 2.028099563289309515e-11
4.187999999999999723e+00 2.055627196240195076e-11
4.312999999999999723e+00 2.148577496474679549e-11
4.453999999999999737e+00 1.991634461517843846e-11
4.578999999999999737e+00 2.056342075784645118e-11
4.703999999999999737e+00 2.028457263270055932e-11
4.844000000000000306e+00 2.012012084717795801e-11
4.985000000000000320e+00 2.070284568778113510e-11
5.110000000000000320e+00 2.025239871639161748e-11
5.250000000000000000e+00 2.121049863523793988e-11
5.375000000000000000e+00 2.018804741432678185e-11
5.500000000000000000e+00 2.051337572028799627e-11
5.641000000000000014e+00 2.187544589915546567e-11
5.766000000000000014e+00 2.103174752410286175e-11
5.891000000000000014e+00 2.134276956555769544e-11
6.032000000000000028e+00 2.094236936645010871e-11
6.157000000000000028e+00 2.163592395520996803e-11
6.282000000000000028e+00 2.093879757081307247e-11
6.421999999999999709e+00 2.076004472495451836e-11
6.562999999999999723e+00 2.032747234426146576e-11
6.687999999999999723e+00 2.064207138552376364e-11
6.812999999999999723e+00 2.206849633590302062e-11
6.953999999999999737e+00 2.136064762570111242e-11
