Start time (s) =
1547810078
'Reltime', 'DEFAU[mV]', '44.00[A]', '28.00[A]'
1.953099999999999881e+01 2.099531250000000000e+03 2.076248374616174175e-11 3.446821994490534280e-11
2.018700000000000117e+01 2.100000000000000000e+03 2.054981358690088911e-11 3.479184995658357593e-11
2.082799999999999940e+01 2.100000000000000000e+03 2.039707985845851113e-11 3.404018386610196956e-11
2.148400000000000176e+01 2.100000000000000000e+03 2.097803528111619187e-11 3.487046068562094092e-11
2.212500000000000000e+01 2.100000000000000000e+03 2.083126032781379422e-11 3.490115835225182650e-11
2.278099999999999881e+01 2.099843750000000000e+03 2.081406748344338808e-11 3.487473504426574777e-11
2.343700000000000117e+01 2.100937500000000000e+03 2.085622646808005243e-11 3.441600476827844091e-11
2.407799999999999940e+01 2.100000000000000000e+03 2.059298391532404793e-11 3.471263901322352297e-11
2.473400000000000176e+01 2.100000000000000000e+03 2.053157470427446896e-11 3.451734384429805402e-11
2.540599999999999881e+01 2.100000000000000000e+03 2.065439312637362690e-11 3.487414176883696371e-11
2.604700000000000060e+01 2.100000000000000000e+03 2.091170986373569463e-11 3.512593341192804530e-11
2.671799999999999997e+01 2.100000000000000000e+03 2.088406877986948018e-11 3.489315780758062147e-11
2.735900000000000176e+01 2.100625000000000000e+03 2.074528743234438366e-11 3.497853742762124796e-11
2.801500000000000057e+01 2.100156250000000000e+03 2.080678511429123745e-11 3.486370567240548723e-11
2.865599999999999881e+01 2.100000000000000000e+03 2.088407571876338409e-11 3.461743738886191579e-11
2.931200000000000117e+01 2.100156250000000000e+03 2.080791788872105030e-11 3.480106480768796473e-11
2.995299999999999940e+01 2.100000000000000000e+03 2.086319138283609931e-11 3.479922600080342932e-11
3.060900000000000176e+01 2.100000000000000000e+03 2.050946738829662053e-11 3.485264507552265911e-11
3.126500000000000057e+01 2.100312500000000000e+03 2.086135257595156389e-11 3.471447088121415447e-11
3.190599999999999881e+01 2.099531250000000000e+03 2.107321435407261134e-11 3.470340334543742244e-11
3.256199999999999761e+01 2.100000000000000000e+03 2.058807291316355759e-11 3.476789342538033623e-11
3.320300000000000296e+01 2.094375000000000000e+03 2.110945099276229087e-11 3.486860800094859769e-11
3.387500000000000000e+01 2.100000000000000000e+03 2.103269121367379313e-11 3.490852398813082402e-11
3.451500000000000057e+01 2.100000000000000000e+03 2.110638400165676387e-11 3.485265548386351497e-11
3.517199999999999704e+01 2.099843750000000000e+03 2.036884202971656066e-11 3.475931001362120298e-11
3.581199999999999761e+01 2.099843750000000000e+03 2.076862119781974769e-11 3.482930957532381910e-11
3.646800000000000352e+01 2.100000000000000000e+03 2.039647097051844327e-11 3.461498795931383654e-11
3.712500000000000000e+01 2.099531250000000000e+03 2.035470923755777761e-11 3.483299759743374580e-11
3.776500000000000057e+01 2.100312500000000000e+03 2.082327192620692102e-11 3.450074254063295598e-11
3.842199999999999704e+01 2.099843750000000000e+03 2.055060288608245855e-11 3.425573713577989565e-11
3.906199999999999761e+01 2.099843750000000000e+03 2.084477382369165355e-11 3.477158144749026292e-11
3.973400000000000176e+01 2.100312500000000000e+03 2.082696168304032369e-11 3.480413526824044368e-11
4.037500000000000000e+01 2.100000000000000000e+03 2.068633112028983589e-11 3.438162601843153254e-11
4.103099999999999881e+01 2.100000000000000000e+03 2.067220873647190871e-11 3.539798315577158405e-11
4.167199999999999704e+01 2.100000000000000000e+03 2.088775333253245492e-11 3.446760238334789506e-11
4.232800000000000296e+01 2.100000000000000000e+03 2.095408568880685607e-11 3.448479696244177717e-11
4.298400000000000176e+01 2.100156250000000000e+03 2.062308483707919748e-11 3.472429982442903906e-11
4.362500000000000000e+01 2.100312500000000000e+03 2.059728949899142236e-11 3.488580258004247980e-11
4.428099999999999881e+01 2.099843750000000000e+03 2.060895204492041444e-11 3.486247054929059175e-11
4.492199999999999704e+01 2.100156250000000000e+03 2.049902608769471613e-11 3.513942956057114486e-11
4.557800000000000296e+01 2.100000000000000000e+03 2.108919289200983371e-11 3.489624908481481214e-11
4.623400000000000176e+01 2.099843750000000000e+03 2.102778021151330279e-11 3.480107174658186864e-11
4.689000000000000057e+01 2.101562500000000000e+03 2.083495008464719689e-11 3.494599401521192306e-11
4.753099999999999881e+01 2.100312500000000000e+03 2.044498251252413468e-11 3.465858849915903761e-11
4.818699999999999761e+01 2.100000000000000000e+03 2.065052989719262655e-11 3.416238125719672780e-11
4.884300000000000352e+01 2.100000000000000000e+03 2.039524452102092766e-11 3.470586318332635756e-11
4.948400000000000176e+01 2.100000000000000000e+03 2.066729426486446641e-11 3.463832692895962850e-11
5.014000000000000057e+01 2.102968750000000000e+03 2.050885329618612474e-11 3.523216787759686497e-11
5.078099999999999881e+01 2.107187500000000000e+03 2.051745232045654177e-11 3.481149049577858534e-11
5.143699999999999761e+01 2.113281250000000000e+03 2.066115681320646047e-11 3.473228649131243628e-11
5.209300000000000352e+01 2.112500000000000000e+03 2.083546703224303798e-11 3.479922600080342932e-11
5.275000000000000000e+01 2.125000000000000000e+03 2.045358674096497964e-11 3.488151434360986514e-11
5.339000000000000057e+01 2.131562500000000000e+03 2.058827067163981894e-11 3.477097429427367103e-11
5.406199999999999761e+01 2.139687500000000000e+03 2.121756242923211744e-11 3.509829232806183086e-11
5.470300000000000296e+01 2.146562500000000000e+03 2.078458585796916225e-11 3.505405687942442228e-11
5.535900000000000176e+01 2.154687500000000000e+03 2.062369892918969327e-11 3.498653797229245299e-11
5.600000000000000000e+01 2.161250000000000000e+03 2.079502368912411470e-11 3.525980202256917551e-11
5.665599999999999881e+01 2.176406250000000000e+03 2.087056395760900074e-11 3.462113581931269835e-11
5.731199999999999761e+01 2.184062500000000000e+03 2.090250021680173376e-11 3.441787133073859195e-11
5.795300000000000296e+01 2.193125000000000000e+03 2.038480495514249924e-11 3.456339728313828630e-11
5.860900000000000176e+01 2.204687500000000000e+03 2.034734013223182814e-11 3.515724517066942667e-11
5.925000000000000000e+01 2.214218750000000000e+03 2.023741764445308178e-11 3.461252118253099752e-11
5.990599999999999881e+01 2.226718750000000000e+03 2.065747226054348573e-11 3.499513526183939405e-11
6.056199999999999761e+01 2.238593750000000000e+03 2.059114510843951251e-11 3.505530588032712558e-11
6.121800000000000352e+01 2.249062500000000000e+03 2.064702228632420145e-11 3.522294955704552422e-11
6.185900000000000176e+01 2.260468750000000000e+03 2.045972592734646156e-11 3.507004062153207258e-11
6.251500000000000057e+01 2.272343750000000000e+03 2.082021013927182196e-11 3.528007053166248852e-11
6.317199999999999704e+01 2.285468750000000000e+03 2.078847337327882627e-11 3.447251165078490942e-11
6.381199999999999761e+01 2.297812500000000000e+03 2.084108580158172686e-11 3.477835033849352442e-11
6.446800000000000352e+01 2.310625000000000000e+03 2.092214942961412305e-11 3.519225535986159059e-11
6.512500000000000000e+01 2.322812500000000000e+03 2.049288516658975823e-11 3.495703379541303946e-11
6.578100000000000591e+01 2.332656250000000000e+03 2.043024603659571170e-11 3.512594035082194921e-11
6.643699999999999761e+01 2.345468750000000000e+03 2.044253308297605543e-11 3.535191236969659201e-11
6.709300000000000352e+01 2.356406250000000000e+03 2.084906379484774419e-11 3.548333502023659491e-11
6.775000000000000000e+01 2.366093750000000000e+03 2.075326542561040100e-11 3.532612050105576884e-11
6.839000000000000057e+01 2.380468750000000000e+03 2.045603790523653487e-11 3.543236884451239632e-11
6.904699999999999704e+01 2.392500000000000000e+03 2.077414976153768578e-11 3.492817146621973734e-11
6.968699999999999761e+01 2.401406250000000000e+03 2.058929589321412124e-11 3.595742800732715239e-11
7.034300000000000352e+01 2.419531250000000000e+03 2.079441653590752281e-11 3.567677750448972063e-11
7.100000000000000000e+01 2.426718750000000000e+03 1.998094918687076671e-11 3.484527597019670964e-11
7.165600000000000591e+01 2.439843750000000000e+03 2.047168337626636969e-11 3.566511322383725258e-11
7.229699999999999704e+01 2.451718750000000000e+03 2.103514758211577629e-11 3.549560992355260680e-11
7.295300000000000296e+01 2.470312500000000000e+03 2.032093243675703320e-11 3.583154259412246745e-11
7.360899999999999466e+01 2.478750000000000000e+03 2.046586164428099153e-11 3.539551984843569699e-11
7.425000000000000000e+01 2.487656250000000000e+03 2.032032528354044132e-11 3.539244244898931413e-11
7.490600000000000591e+01 2.497968750000000000e+03 2.039050699120803500e-11 3.491528940968713357e-11
7.554699999999999704e+01 2.514218750000000000e+03 2.047998402809891871e-11 3.598506909119336683e-11
7.620300000000000296e+01 2.525937500000000000e+03 2.078765978796859315e-11 3.507679910419447822e-11
7.685899999999999466e+01 2.538906250000000000e+03 2.066484310059291118e-11 3.560799918811419218e-11
7.750000000000000000e+01 2.544062500000000000e+03 2.098662910121618097e-11 3.510013807384027018e-11
7.815600000000000591e+01 2.562500000000000000e+03 2.091969132644866392e-11 3.598077738531380021e-11
7.879699999999999704e+01 2.580000000000000000e+03 2.061816516130132726e-11 3.550789870465642650e-11
7.945300000000000296e+01 2.587031250000000000e+03 2.055674727663436840e-11 3.582231733467722279e-11
8.010899999999999466e+01 2.596718750000000000e+03 2.068633112028983589e-11 3.626816555413192589e-11
8.076500000000000057e+01 2.605625000000000000e+03 2.121328807058731059e-11 3.604524317912805031e-11
8.140600000000000591e+01 2.615937500000000000e+03 2.091110617996605470e-11 3.605506518344903100e-11
8.206199999999999761e+01 2.628750000000000000e+03 2.112111874286171087e-11 3.637809845025152811e-11
8.271800000000000352e+01 2.640312500000000000e+03 2.046094890739702521e-11 3.677112780930968938e-11
8.335899999999999466e+01 2.661406250000000000e+03 2.062307269401486565e-11 3.679077181795165075e-11
8.401500000000000057e+01 2.663593750000000000e+03 2.054065945111815950e-11 3.732199271855307643e-11
8.465600000000000591e+01 2.675468750000000000e+03 2.045542207840256310e-11 3.711195586952875658e-11
8.531199999999999761e+01 2.681093750000000000e+03 2.053096234688744914e-11 3.756639443963649683e-11
8.595300000000000296e+01 2.697968750000000000e+03 2.084218214681854420e-11 3.727041245071838205e-11
8.660899999999999466e+01 2.707187500000000000e+03 2.041182153855736203e-11 3.764808950701414858e-11
8.726500000000000057e+01 2.717031250000000000e+03 2.073669014279744260e-11 3.752648192190122245e-11
8.790600000000000591e+01 2.730312500000000000e+03 2.058193199205859969e-11 3.802452103185416377e-11
8.856199999999999761e+01 2.741875000000000000e+03 2.069001567295281063e-11 3.759955194415631752e-11
8.920300000000000296e+01 2.749062500000000000e+03 2.091355560951413395e-11 3.724277136685216760e-11
8.985899999999999466e+01 2.758437500000000000e+03 2.086319311755957528e-11 3.692588942949548425e-11
9.051500000000000057e+01 2.777968750000000000e+03 2.053279594960155663e-11 3.650460489446061274e-11
9.115600000000000591e+01 2.784062500000000000e+03 2.076739127887528014e-11 3.615394442157970900e-11
9.181199999999999761e+01 2.793281250000000000e+03 2.059483486527291518e-11 3.604955223224237670e-11
9.246800000000000352e+01 2.802656250000000000e+03 2.085152189801320333e-11 3.534393958060100260e-11
9.312500000000000000e+01 2.809531250000000000e+03 2.072563128063809046e-11 3.592241087924108456e-11
9.378100000000000591e+01 2.822812500000000000e+03 2.071028071259917169e-11 3.600469922204752038e-11
9.442199999999999704e+01 2.830781250000000000e+03 2.074098878757091313e-11 3.597770692476132126e-11
9.507800000000000296e+01 2.838593750000000000e+03 2.058807464788703356e-11 3.486615163250661453e-11
9.573399999999999466e+01 2.846562500000000000e+03 2.100505706870148259e-11 3.570256937313054380e-11
