Start time (s) =
1547808220
'Reltime', '44.00[A]'
0.000000000000000000e+00 2.279422484097182178e-11
1.250000000000000000e-01 2.251140072961899108e-11
2.650000000000000133e-01 2.369869925300527314e-11
4.060000000000000275e-01 2.354497326273463642e-11
5.310000000000000275e-01 2.170027178782785171e-11
6.560000000000000275e-01 2.278945608613636153e-11
7.970000000000000417e-01 2.172529690869229313e-11
9.370000000000000551e-01 2.320534910060789713e-11
1.062000000000000055e+00 2.352710040676164738e-11
1.187000000000000055e+00 2.263335005525668464e-11
1.328000000000000069e+00 2.344844977908433492e-11
1.453000000000000069e+00 2.084942114788379541e-11
1.593999999999999861e+00 2.286572320375768186e-11
1.718999999999999861e+00 2.187902289896292984e-11
1.843999999999999861e+00 2.253682310215943119e-11
1.983999999999999986e+00 2.240812396747671187e-11
2.108999999999999986e+00 2.250822271621100157e-11
2.233999999999999986e+00 2.339482427227146388e-11
2.375000000000000000e+00 2.336979915140702246e-11
2.500000000000000000e+00 2.318747450991143211e-11
2.640000000000000124e+00 2.249749865568251295e-11
2.765000000000000124e+00 2.326612340286526859e-11
2.906000000000000139e+00 2.255469769285589621e-11
3.031000000000000139e+00 2.227584783298652837e-11
3.156000000000000139e+00 2.269412435751405610e-11
3.297000000000000153e+00 2.172886870432932938e-11
3.422000000000000153e+00 2.277634851555188078e-11
3.547000000000000153e+00 2.153939873683619055e-11
3.687000000000000277e+00 2.212212184271589166e-11
3.812000000000000277e+00 2.339482427227146388e-11
3.937000000000000277e+00 2.255469595813242023e-11
4.078000000000000291e+00 2.181109633181410601e-11
4.203000000000000291e+00 2.294437556615847029e-11
4.328000000000000291e+00 2.128199699802379996e-11
4.453000000000000291e+00 2.324110001672430315e-11
4.594000000000000306e+00 2.289074658989864730e-11
4.719000000000000306e+00 2.311955141220956023e-11
4.858999999999999986e+00 2.186829710371096525e-11
4.983999999999999986e+00 2.330544784934218683e-11
5.125000000000000000e+00 2.291577344548656470e-11
5.264999999999999680e+00 2.212927410760734404e-11
5.389999999999999680e+00 2.289075005934559925e-11
