Start time (s) =
1547810437
'Reltime', '44.00[A]'
0.000000000000000000e+00 2.043471815371677991e-11
1.250000000000000000e-01 1.997711718271233394e-11
2.660000000000000142e-01 2.086372047349627223e-11
3.910000000000000142e-01 2.109252009163675723e-11
5.160000000000000142e-01 1.940154287227713326e-11
6.560000000000000275e-01 1.936222016052369099e-11
7.810000000000000275e-01 2.002716915916469276e-11
9.060000000000000275e-01 1.967324740614895262e-11
1.046999999999999931e+00 2.106749844021926776e-11
1.171999999999999931e+00 1.991634634990191444e-11
1.296999999999999931e+00 2.004862074966862195e-11
1.421999999999999931e+00 1.999857050793973912e-11
1.562999999999999945e+00 2.038109785107433680e-11
1.687999999999999945e+00 2.072429554356158832e-11
1.812999999999999945e+00 1.948734749956937407e-11
1.952999999999999847e+00 1.908337030065432316e-11
2.077999999999999847e+00 1.910839542151876458e-11
2.202999999999999847e+00 2.092807004083763189e-11
2.343999999999999861e+00 1.948019349995444571e-11
2.468999999999999861e+00 2.119619584017851111e-11
2.593999999999999861e+00 2.047047080455666190e-11
2.734999999999999876e+00 2.063492259007926322e-11
2.859999999999999876e+00 2.018804394487982989e-11
2.984999999999999876e+00 2.072429727828506429e-11
3.125000000000000000e+00 2.024881998186067733e-11
3.266000000000000014e+00 2.060632220413083360e-11
3.391000000000000014e+00 2.097454501748252653e-11
3.516000000000000014e+00 1.924066982128547210e-11
3.656000000000000139e+00 2.040254423740783807e-11
3.781000000000000139e+00 2.042756935827227949e-11
3.906000000000000139e+00 2.094594636625757289e-11
4.030999999999999694e+00 2.078507331526591173e-11
4.171999999999999709e+00 2.001644683335968011e-11
4.296999999999999709e+00 1.951594268134737575e-11
4.421999999999999709e+00 2.022736839135674813e-11
4.562999999999999723e+00 1.959459330902468821e-11
4.687999999999999723e+00 1.974474576893481270e-11
4.812999999999999723e+00 1.963749128586211867e-11
4.953000000000000291e+00 2.034892220004191898e-11
5.094000000000000306e+00 2.000214403830025134e-11
5.219000000000000306e+00 1.973759523876683630e-11
5.344000000000000306e+00 1.946946943942595709e-11
5.485000000000000320e+00 1.984842151747656658e-11
5.625000000000000000e+00 1.933719677438272555e-11
5.750000000000000000e+00 2.070284742250461107e-11
5.875000000000000000e+00 1.919419310991710148e-11
6.016000000000000014e+00 1.955884412763175817e-11
6.141000000000000014e+00 2.077434752001394713e-11
6.266000000000000014e+00 1.978407021541173094e-11
6.391000000000000014e+00 1.960531910427665281e-11
6.530999999999999694e+00 1.975904509454728952e-11
6.655999999999999694e+00 1.879379291080951475e-11
6.780999999999999694e+00 1.940511813736112146e-11
6.921999999999999709e+00 1.995209900074179643e-11
7.046999999999999709e+00 1.924066808656199612e-11
7.171999999999999709e+00 2.036679679073838400e-11
7.312999999999999723e+00 2.031317128392551297e-11
7.437999999999999723e+00 1.945517011381348027e-11
7.562999999999999723e+00 1.926212141178940129e-11
7.703000000000000291e+00 2.037037205582237220e-11
7.844000000000000306e+00 1.971614538298638308e-11
7.969000000000000306e+00 2.054197090206599796e-11
