Start time (s) =
1547807710
'Reltime', '44.00[A]'
0.000000000000000000e+00 2.372372437386971455e-11
1.250000000000000000e-01 2.392749887114575813e-11
2.660000000000000142e-01 2.345917557433629952e-11
3.910000000000000142e-01 2.334477576526605702e-11
5.160000000000000142e-01 2.321965016094384993e-11
6.570000000000000284e-01 2.363434621621696152e-11
7.820000000000000284e-01 2.279064784116435760e-11
9.070000000000000284e-01 2.267982329717810330e-11
1.046999999999999931e+00 2.300872166405287800e-11
1.171999999999999931e+00 2.365222427636037850e-11
1.296999999999999931e+00 2.328399972828520959e-11
1.437999999999999945e+00 2.293364630145955374e-11
1.562999999999999945e+00 2.339839780263197611e-11
1.687999999999999945e+00 2.266909923664961468e-11
1.828999999999999959e+00 2.320892436569188533e-11
1.953999999999999959e+00 2.377735161540606157e-11
2.079000000000000181e+00 2.314457306362704969e-11
2.204000000000000181e+00 2.324825054689227954e-11
2.343999999999999861e+00 2.331974890967813963e-11
2.468999999999999861e+00 2.428725102976425632e-11
2.593999999999999861e+00 2.246174947428958291e-11
2.734999999999999876e+00 2.343772571855584630e-11
2.875000000000000000e+00 2.413127336842180171e-11
3.000000000000000000e+00 2.265122464595314966e-11
3.125000000000000000e+00 2.181824686198208241e-11
3.266000000000000014e+00 2.224367391667758653e-11
3.391000000000000014e+00 2.279422484097182178e-11
3.516000000000000014e+00 2.189332395929888264e-11
3.657000000000000028e+00 2.291577518021004067e-11
3.782000000000000028e+00 2.346274910469681174e-11
3.907000000000000028e+00 2.380237673627050299e-11
4.046999999999999709e+00 2.350922581606518236e-11
4.187999999999999723e+00 2.470327414849649017e-11
4.312999999999999723e+00 2.405262447546796523e-11
4.437999999999999723e+00 2.139282154201005426e-11
4.562999999999999723e+00 2.252967430671493076e-11
4.703999999999999737e+00 2.357357364868306604e-11
4.828999999999999737e+00 2.216502502372375005e-11
4.953999999999999737e+00 2.357714891376705424e-11
5.094000000000000306e+00 2.261190019947623142e-11
5.219000000000000306e+00 2.389532668956029227e-11
5.344000000000000306e+00 2.312311973839964452e-11
5.485000000000000320e+00 2.227227430262601615e-11
5.610000000000000320e+00 2.382382659205095621e-11
5.735000000000000320e+00 2.344845151380781090e-11
5.875000000000000000e+00 2.291577518021004067e-11
6.000000000000000000e+00 2.288002426409363466e-11
6.141000000000000014e+00 2.308737229173019045e-11
6.266000000000000014e+00 2.375232475981814417e-11
6.407000000000000028e+00 2.448877212124500602e-11
6.546999999999999709e+00 2.354855026254210060e-11
6.671999999999999709e+00 2.253324783707544299e-11
6.796999999999999709e+00 2.339125247663442764e-11
6.937999999999999723e+00 2.379522620610252659e-11
7.062999999999999723e+00 2.383812418293995705e-11
7.187999999999999723e+00 2.250464745112701337e-11
7.312999999999999723e+00 2.389890021992080449e-11
7.453999999999999737e+00 2.237594831644429405e-11
7.578999999999999737e+00 2.315887412396300249e-11
7.703999999999999737e+00 2.404547394529998883e-11
7.844000000000000306e+00 2.247247526954154750e-11
7.969000000000000306e+00 2.319820030516339671e-11
8.093999999999999417e+00 2.358072244412756646e-11
8.234999999999999432e+00 2.359502523918699524e-11
8.359999999999999432e+00 2.394179993148171093e-11
8.500000000000000000e+00 2.261190019947623142e-11
8.625000000000000000e+00 2.312669847293058467e-11
8.766000000000000014e+00 2.288717479426161105e-11
8.907000000000000028e+00 2.183254792231803521e-11
9.032000000000000028e+00 2.329829731917421043e-11
9.157000000000000028e+00 2.183969671776253563e-11
9.297000000000000597e+00 2.302302445911230677e-11
9.422000000000000597e+00 2.346274910469681174e-11
9.547000000000000597e+00 2.285142387814520504e-11
9.672000000000000597e+00 2.395252399201019955e-11
9.813000000000000611e+00 2.309809982170563103e-11
9.938000000000000611e+00 2.355569905798660102e-11
1.006300000000000061e+01 2.217932434933622687e-11
1.020400000000000063e+01 2.328042272847774541e-11
1.034399999999999942e+01 2.194694599666480173e-11
1.046899999999999942e+01 2.346275083942028772e-11
1.059399999999999942e+01 2.210782251710341484e-11
1.073499999999999943e+01 2.286214793867369366e-11
1.085999999999999943e+01 2.230087468857444577e-11
1.098499999999999943e+01 2.299442580788735313e-11
1.112500000000000000e+01 2.320892436569188533e-11
1.125000000000000000e+01 2.266552050211867453e-11
1.137500000000000000e+01 2.172172511305525688e-11
1.151600000000000001e+01 2.260832319966876724e-11
1.164100000000000001e+01 2.233662386996737581e-11
1.176600000000000001e+01 2.236165072555529321e-11
1.190700000000000003e+01 2.277277498519136856e-11
1.204700000000000060e+01 2.235807372574782903e-11
1.217200000000000060e+01 2.280137363641632220e-11
1.229700000000000060e+01 2.270485015276602070e-11
1.242200000000000060e+01 2.378092167631962184e-11
1.256300000000000061e+01 2.340912533260741668e-11
1.270400000000000063e+01 2.385599877363642207e-11
1.282900000000000063e+01 2.195052473119574188e-11
1.295400000000000063e+01 2.292292224093106512e-11
1.309399999999999942e+01 2.429930215375186719e-11
1.321899999999999942e+01 2.258687334388831403e-11
1.334399999999999942e+01 2.388817442466883989e-11
1.348499999999999943e+01 2.412783341176893970e-11
1.360999999999999943e+01 2.211497131254791526e-11
1.373499999999999943e+01 2.346274910469681174e-11
1.387500000000000000e+01 2.267982329717810330e-11
1.400000000000000000e+01 2.336264862123904607e-11
1.412500000000000000e+01 2.226512550718151573e-11
1.426600000000000001e+01 2.456027568820129403e-11
1.439100000000000001e+01 2.292649924073852929e-11
1.451600000000000001e+01 2.230444995365843397e-11
1.465700000000000003e+01 2.205062347993003158e-11
1.478200000000000003e+01 2.296582195249197156e-11
1.492200000000000060e+01 2.288717479426161105e-11
1.504700000000000060e+01 2.228299836315450477e-11
1.518800000000000061e+01 2.341627586277539308e-11
1.531300000000000061e+01 2.178964647603365279e-11
1.545400000000000063e+01 2.301230039858381815e-11
1.557900000000000063e+01 2.311597614712557203e-11
1.570400000000000063e+01 2.140712086762253108e-11
1.584399999999999942e+01 2.344129924891635852e-11
1.596899999999999942e+01 2.262262426000472004e-11
1.609400000000000119e+01 2.172172337833178091e-11
1.623499999999999943e+01 2.275847565957889174e-11
1.637500000000000000e+01 2.254397536705088356e-11
1.650000000000000000e+01 2.269412262279058012e-11
1.662500000000000000e+01 2.270842368312653292e-11
1.676599999999999824e+01 2.345559857452883534e-11
1.689099999999999824e+01 2.188259816404691804e-11
1.701599999999999824e+01 2.191477208035585988e-11
1.714099999999999824e+01 2.184684724793051203e-11
1.728200000000000003e+01 2.279064957588783358e-11
1.740700000000000003e+01 2.369869925300527314e-11
1.753200000000000003e+01 2.214714869830380906e-11
1.767200000000000060e+01 2.310882214751064367e-11
1.779700000000000060e+01 2.307307470084118961e-11
1.792200000000000060e+01 2.289432358970611148e-11
1.806299999999999883e+01 2.343057518838786990e-11
1.818799999999999883e+01 2.239382464186423505e-11
1.831299999999999883e+01 2.185042424773797620e-11
1.845400000000000063e+01 2.271557247857103334e-11
1.859400000000000119e+01 2.272629653909952196e-11
1.871900000000000119e+01 2.238309711188879447e-11
1.885999999999999943e+01 2.328757499336919778e-11
1.898499999999999943e+01 2.258329807880432583e-11
1.912500000000000000e+01 2.181109806653758199e-11
1.925000000000000000e+01 2.224367565140106251e-11
1.937500000000000000e+01 2.214357343321982086e-11
1.950000000000000000e+01 2.241169923256070007e-11
1.964099999999999824e+01 2.396682505234615235e-11
1.976599999999999824e+01 2.270842194840305694e-11
1.989099999999999824e+01 2.260117440422426682e-11
2.003200000000000003e+01 2.232589980943888719e-11
2.015700000000000003e+01 2.236879605155284167e-11
2.028200000000000003e+01 2.255469769285589621e-11
2.042200000000000060e+01 2.380594853190753923e-11
2.054700000000000060e+01 2.329472378881369821e-11
2.067200000000000060e+01 2.300872513349982995e-11
2.081299999999999883e+01 2.245459720939813053e-11
2.095400000000000063e+01 2.260117440422426682e-11
2.107900000000000063e+01 2.220077247039320412e-11
2.121900000000000119e+01 2.396324978726216415e-11
2.134400000000000119e+01 2.317675044938294349e-11
2.148499999999999943e+01 2.247962233026257195e-11
2.160999999999999943e+01 2.270484841804254472e-11
2.173499999999999943e+01 2.346632263505732396e-11
2.187500000000000000e+01 2.325539934233677997e-11
2.200000000000000000e+01 2.270127315295855652e-11
2.212500000000000000e+01 2.324917688922845116e-11
2.225000000000000000e+01 2.277635198499883273e-11
2.239099999999999824e+01 2.189332395929888264e-11
2.251599999999999824e+01 2.254754889741139579e-11
2.264099999999999824e+01 2.377019761579113322e-11
2.278200000000000003e+01 2.274059586471199879e-11
2.290700000000000003e+01 2.317674871465946751e-11
2.303200000000000003e+01 2.197912338242069552e-11
2.317200000000000060e+01 2.247962579970952390e-11
2.331299999999999883e+01 2.317674697993599153e-11
2.343799999999999883e+01 2.240812396747671187e-11
2.357900000000000063e+01 2.263692358561719686e-11
2.370400000000000063e+01 2.330187084953472265e-11
2.384400000000000119e+01 2.370584804844977356e-11
2.396900000000000119e+01 2.225439971192955113e-11
2.409400000000000119e+01 2.243672261870166551e-11
2.423499999999999943e+01 2.375947355526264460e-11
2.435999999999999943e+01 2.295152436160297071e-11
2.448499999999999943e+01 2.392034660625430575e-11
2.460999999999999943e+01 2.296582542193892351e-11
2.475000000000000000e+01 2.375947355526264460e-11
2.487500000000000000e+01 2.281567296202879902e-11
2.500000000000000000e+01 2.379165267574201437e-11
2.514099999999999824e+01 2.171457284816380451e-11
2.526599999999999824e+01 2.234019913505136401e-11
2.539099999999999824e+01 2.257615101808330138e-11
2.553200000000000003e+01 2.357357538340654202e-11
2.565700000000000003e+01 2.255826948849293245e-11
2.579700000000000060e+01 2.374159896456617957e-11
2.592200000000000060e+01 2.309094582209070268e-11
2.606299999999999883e+01 2.295152262687949474e-11
2.620400000000000063e+01 2.261904726019725587e-11
2.632900000000000063e+01 2.340197306771596431e-11
2.645400000000000063e+01 2.303732378472478359e-11
2.659400000000000119e+01 2.202917362414957836e-11
2.671900000000000119e+01 2.295152262687949474e-11
2.684400000000000119e+01 2.283712455253272822e-11
2.696900000000000119e+01 2.280852069713734664e-11
2.710999999999999943e+01 2.223652338650961013e-11
2.725000000000000000e+01 2.205419701029054380e-11
2.737500000000000000e+01 2.282639875728076362e-11
2.750000000000000000e+01 2.203632241959407878e-11
2.764099999999999824e+01 2.294080030107448209e-11
2.776599999999999824e+01 2.114257206808911604e-11
2.789099999999999824e+01 2.295867662649442309e-11
2.803200000000000003e+01 2.246532300465009513e-11
2.815700000000000003e+01 2.354497152801116044e-11
2.828200000000000003e+01 2.282282002274982347e-11
2.842200000000000060e+01 2.307664823120170183e-11
2.854700000000000060e+01 2.350922581606518236e-11
2.867200000000000060e+01 2.330902484914965100e-11
2.881299999999999883e+01 2.334120223490554480e-11
2.893799999999999883e+01 2.341984939313590530e-11
2.906299999999999883e+01 2.215429575902483350e-11
2.920400000000000063e+01 2.206492280554250840e-11
2.932900000000000063e+01 2.335549809107106967e-11
2.946900000000000119e+01 2.293722330126701792e-11
2.959400000000000119e+01 2.187544936860241762e-11
2.971900000000000119e+01 2.279422657569529775e-11
2.985999999999999943e+01 2.232589980943888719e-11
3.000000000000000000e+01 2.323752648636379092e-11
3.012500000000000000e+01 2.354497499745811240e-11
3.025000000000000000e+01 2.115687312842506884e-11
3.039099999999999824e+01 2.246532473937357111e-11
3.051599999999999824e+01 2.208279913096244940e-11
3.064099999999999824e+01 2.190404801982737126e-11
3.078200000000000003e+01 2.414200089839724228e-11
3.092200000000000060e+01 2.322322542602783813e-11
3.104700000000000060e+01 2.280852590130777457e-11
3.117200000000000060e+01 2.195409826155625410e-11
3.131299999999999883e+01 2.361289982988346026e-11
3.143799999999999883e+01 2.197011496340994796e-11
3.156299999999999883e+01 2.294794736179550654e-11
3.170400000000000063e+01 2.346632610450427592e-11
3.182900000000000063e+01 2.311240261676505980e-11
3.195400000000000063e+01 2.216859855408426228e-11
3.207900000000000063e+01 2.226154850737405155e-11
3.221900000000000119e+01 2.305877364050523681e-11
3.234400000000000119e+01 2.274417112979598699e-11
3.248499999999999943e+01 2.348419896047726496e-11
3.260999999999999943e+01 2.263692185089372089e-11
3.275000000000000000e+01 2.227584609826305240e-11
3.287500000000000000e+01 2.197197285225271912e-11
3.300000000000000000e+01 2.178249768058915237e-11
3.314099999999999824e+01 2.258687160916483805e-11
3.326599999999999824e+01 2.207922560060193717e-11
3.339099999999999824e+01 2.294794562707203056e-11
3.353199999999999648e+01 2.232232627907837497e-11
3.367199999999999704e+01 2.251894851146296617e-11
3.379699999999999704e+01 2.130344685380425318e-11
3.392199999999999704e+01 2.160017477381703799e-11
3.406300000000000239e+01 2.325182407725279177e-11
3.418800000000000239e+01 2.309810155642910701e-11
3.431300000000000239e+01 2.346274736997333576e-11
3.443800000000000239e+01 2.256184648830039663e-11
3.457900000000000063e+01 2.316602291940750291e-11
3.470400000000000063e+01 2.217217208444477450e-11
3.482900000000000063e+01 2.223294812142562193e-11
3.496900000000000119e+01 2.207207333571048480e-11
3.509400000000000119e+01 2.296582368721544753e-11
3.521900000000000119e+01 2.119262230981799888e-11
3.535999999999999943e+01 2.254397363232740759e-11
3.550000000000000000e+01 2.214714869830380906e-11
3.562500000000000000e+01 2.333047643965358020e-11
3.575000000000000000e+01 2.240097343730873547e-11
3.589099999999999824e+01 2.168597246221537489e-11
3.603199999999999648e+01 2.163592395520996803e-11
3.615699999999999648e+01 2.278707257608036940e-11
3.628199999999999648e+01 2.289074658989864730e-11
3.642199999999999704e+01 2.296225015685493531e-11
3.654699999999999704e+01 2.259402213933281445e-11
3.667199999999999704e+01 2.290809382465841537e-11
3.679699999999999704e+01 2.193264667105232490e-11
3.693800000000000239e+01 2.348420069520074094e-11
3.706300000000000239e+01 2.184327198284652383e-11
3.720400000000000063e+01 2.287644899900964646e-11
3.732900000000000063e+01 2.230087295385096979e-11
3.746900000000000119e+01 2.222580106070459749e-11
3.759400000000000119e+01 2.334834582617961729e-11
3.771900000000000119e+01 2.293722156654354194e-11
3.785999999999999943e+01 2.286572320375768186e-11
3.798499999999999943e+01 2.290862291531858830e-11
3.810999999999999943e+01 2.279422310624834580e-11
3.825000000000000000e+01 2.244387314886964191e-11
3.837500000000000000e+01 2.315529885887901429e-11
3.850000000000000000e+01 2.133919776992065920e-11
3.864099999999999824e+01 2.285857440831318144e-11
3.876599999999999824e+01 2.275489519032447561e-11
3.889099999999999824e+01 2.203989941940154296e-11
3.903199999999999648e+01 2.265122291122967368e-11
3.917199999999999704e+01 2.222222059145018136e-11
3.929699999999999704e+01 2.281567469675227500e-11
3.942199999999999704e+01 2.409552418702887167e-11
3.956300000000000239e+01 2.318032397974345571e-11
3.968800000000000239e+01 2.231874580982395884e-11
3.982900000000000063e+01 2.352352514167765918e-11
3.995400000000000063e+01 2.224009691687012236e-11
4.007900000000000063e+01 2.326612513758874456e-11
4.021900000000000119e+01 2.399900243810204614e-11
4.034400000000000119e+01 2.100672240323842033e-11
4.046900000000000119e+01 2.256900048791532498e-11
4.060999999999999943e+01 2.285857440831318144e-11
4.073499999999999943e+01 2.296939895229943573e-11
4.085999999999999943e+01 2.345559857452883534e-11
4.100000000000000000e+01 2.340912533260741668e-11
4.112500000000000000e+01 2.224367218195411056e-11
4.125000000000000000e+01 2.153582173702872637e-11
4.139099999999999824e+01 2.235807199102435305e-11
4.153199999999999648e+01 2.348420069520074094e-11
4.165699999999999648e+01 2.370584804844977356e-11
4.178199999999999648e+01 2.163592222048649205e-11
4.190699999999999648e+01 2.405262447546796523e-11
4.204699999999999704e+01 2.340912533260741668e-11
4.218800000000000239e+01 2.274417286451946296e-11
4.231300000000000239e+01 2.255827295793988441e-11
4.243800000000000239e+01 2.262619779036523227e-11
4.257900000000000063e+01 2.332332244003865185e-11
4.270400000000000063e+01 2.284784861306121684e-11
4.282900000000000063e+01 2.258687334388831403e-11
4.296900000000000119e+01 2.331975064440161560e-11
4.309400000000000119e+01 2.158944550911812144e-11
4.323499999999999943e+01 2.289432185498263550e-11
4.335999999999999943e+01 2.298727354299590075e-11
4.350000000000000000e+01 2.274774986432692714e-11
4.362500000000000000e+01 2.322679895638835035e-11
4.375000000000000000e+01 2.284785208250816879e-11
4.389099999999999824e+01 2.295509789196348294e-11
4.401599999999999824e+01 2.291934871057055290e-11
4.414099999999999824e+01 2.269055082715354388e-11
4.426599999999999824e+01 2.279780010605580998e-11
4.440699999999999648e+01 2.179679874092510516e-11
4.453199999999999648e+01 2.259759740441680265e-11
4.465699999999999648e+01 2.276204918993940396e-11
4.479699999999999704e+01 2.371260132694175127e-11
4.492199999999999704e+01 2.219719894003269189e-11
4.506300000000000239e+01 2.193979546649682533e-11
4.518800000000000239e+01 2.187372678819077265e-11
4.532900000000000063e+01 2.199342444275664832e-11
4.545400000000000063e+01 2.240454696766924769e-11
4.559400000000000119e+01 2.708065542644799706e-11
4.571900000000000119e+01 3.173888582508332945e-11
4.585999999999999943e+01 3.292221703588005255e-11
4.598499999999999943e+01 3.287215638581031385e-11
4.610999999999999943e+01 3.172457782585347275e-11
4.625000000000000000e+01 3.269698400920617587e-11
4.637500000000000000e+01 3.187473548993402517e-11
4.650000000000000000e+01 3.216788294069239384e-11
4.664099999999999824e+01 3.322582486919856137e-11
4.676599999999999824e+01 3.290791250609714780e-11
4.689099999999999824e+01 3.174602941635740194e-11
4.701599999999999824e+01 3.449163871183102970e-11
4.715699999999999648e+01 3.309738247359028662e-11
4.728199999999999648e+01 3.272916312968554564e-11
4.740699999999999648e+01 3.529243564059925120e-11
