Start time (s) =
1547809272
'Reltime', '44.00[A]'
0.000000000000000000e+00 2.148219969966280729e-11
1.250000000000000000e-01 2.222593116496529575e-11
2.500000000000000000e-01 2.128557226310778816e-11
3.900000000000000133e-01 2.163592395520996803e-11
5.150000000000000133e-01 2.180752106673011781e-11
6.400000000000000133e-01 2.139997207217803066e-11
7.810000000000000275e-01 2.192562797986852274e-11
9.060000000000000275e-01 2.154297053247322680e-11
1.030999999999999917e+00 2.143214598848697250e-11
1.171999999999999931e+00 2.091734771503261925e-11
1.296999999999999931e+00 2.158229671367362101e-11
1.421999999999999931e+00 2.081724549685137760e-11
1.562000000000000055e+00 2.113184627283715145e-11
1.687000000000000055e+00 2.158229497895014504e-11
1.812000000000000055e+00 2.112469747739265102e-11
1.952999999999999847e+00 2.139997207217803066e-11
2.077999999999999847e+00 2.138209748148156564e-11
2.202999999999999847e+00 2.177177015061371179e-11
2.343999999999999861e+00 2.146789516987990254e-11
2.468999999999999861e+00 2.157514965295259657e-11
2.593999999999999861e+00 2.139281980728657828e-11
2.733999999999999986e+00 2.063492259007926322e-11
2.858999999999999986e+00 2.244387314886964191e-11
2.983999999999999986e+00 2.119619584017851111e-11
3.108999999999999986e+00 2.146432163951939032e-11
3.250000000000000000e+00 2.150722308580377273e-11
3.375000000000000000e+00 2.147147216968736672e-11
3.500000000000000000e+00 2.244029614906217773e-11
3.640000000000000124e+00 2.042757282771923144e-11
3.765000000000000124e+00 2.202202309398160196e-11
3.890000000000000124e+00 2.098884781254195531e-11
4.030999999999999694e+00 2.099135969213516972e-11
4.155999999999999694e+00 2.210067372165891442e-11
4.296999999999999709e+00 2.199342097330969636e-11
4.421999999999999709e+00 2.187187410351842942e-11
4.562000000000000277e+00 2.127312562216765457e-11
4.687000000000000277e+00 2.139639854181751843e-11
4.812000000000000277e+00 2.174674849919622233e-11
4.953000000000000291e+00 2.197912338242069552e-11
5.078000000000000291e+00 2.182182386178954658e-11
5.203000000000000291e+00 2.180037053656214141e-11
5.344000000000000306e+00 2.055627196240195076e-11
5.469000000000000306e+00 2.116402192386956926e-11
5.594000000000000306e+00 2.156799738806114419e-11
5.719000000000000306e+00 2.118547177965002248e-11
5.858999999999999986e+00 2.108894482655276903e-11
5.983999999999999986e+00 1.996997185671478547e-11
6.108999999999999986e+00 2.066709650638820506e-11
6.250000000000000000e+00 2.108537303091573278e-11
6.375000000000000000e+00 2.091019545014116687e-11
6.514999999999999680e+00 2.155727159280917959e-11
6.639999999999999680e+00 2.260832146494529127e-11
6.780999999999999694e+00 2.103889805427083814e-11
6.921999999999999709e+00 2.044544915313917244e-11
7.046999999999999709e+00 2.152867294158422595e-11
7.171999999999999709e+00 2.158587371348108519e-11
7.312000000000000277e+00 2.295867315704747114e-11
7.437000000000000277e+00 2.234734966521934041e-11
7.562000000000000277e+00 2.081009670140687717e-11
7.703000000000000291e+00 2.121049863523793988e-11
7.828000000000000291e+00 2.090662018505717867e-11
7.969000000000000306e+00 2.053839737170548574e-11
8.093999999999999417e+00 2.233305033960686359e-11
8.218999999999999417e+00 2.102102346357437312e-11
8.358999999999999986e+00 2.017374808871430503e-11
8.483999999999999986e+00 2.034176993515046661e-11
8.608999999999999986e+00 2.165022328082244485e-11
8.750000000000000000e+00 2.168597072749189891e-11
8.875000000000000000e+00 2.199342270803317234e-11
9.000000000000000000e+00 2.119619584017851111e-11
9.140000000000000568e+00 2.093879757081307247e-11
9.265000000000000568e+00 2.118546657547959455e-11
9.390000000000000568e+00 2.054196743261904601e-11
9.531000000000000583e+00 2.176820008970015152e-11
9.672000000000000597e+00 2.065994597622022866e-11
9.797000000000000597e+00 2.166452260643492167e-11
9.922000000000000597e+00 2.192906967124486073e-11
1.006199999999999939e+01 2.113184453811367547e-11
1.018699999999999939e+01 2.228299662843102880e-11
1.031199999999999939e+01 2.146074810915887809e-11
1.045299999999999940e+01 2.112112047758518685e-11
1.057799999999999940e+01 2.185399951282196440e-11
1.071899999999999942e+01 2.090662191978065465e-11
1.084399999999999942e+01 2.286929499939471810e-11
1.096899999999999942e+01 2.280852243186082262e-11
1.110899999999999999e+01 2.274417459924293894e-11
1.123399999999999999e+01 2.073502133881355292e-11
1.135899999999999999e+01 2.068497283180814605e-11
1.150000000000000000e+01 2.080294790596237675e-11
1.162500000000000000e+01 2.134992356517262380e-11
1.175000000000000000e+01 2.161089536489857466e-11
1.189000000000000057e+01 2.206134754045852020e-11
1.201500000000000057e+01 2.100314540343095615e-11
1.214000000000000057e+01 2.161447236470603883e-11
1.228100000000000058e+01 2.158587544820456117e-11
1.240600000000000058e+01 2.176819835497667555e-11
1.254700000000000060e+01 2.198269864750468372e-11
1.267200000000000060e+01 2.108179603110826861e-11
1.281199999999999939e+01 1.991992161498590264e-11
1.293699999999999939e+01 2.161089536489857466e-11
1.307799999999999940e+01 2.057771834873545203e-11
1.320299999999999940e+01 2.072786733919862456e-11
1.332799999999999940e+01 2.151437014652479718e-11
1.346899999999999942e+01 2.093522057100560829e-11
1.359399999999999942e+01 2.041327003265980267e-11
1.371899999999999942e+01 1.983054866150357753e-11
1.385899999999999999e+01 2.244029961850912969e-11
1.398399999999999999e+01 2.196482058736126675e-11
1.410899999999999999e+01 2.060989920393829777e-11
1.425000000000000000e+01 2.099242134290246753e-11
1.439000000000000057e+01 2.058487061362690440e-11
1.451500000000000057e+01 2.200772203364564916e-11
1.464000000000000057e+01 2.109967235652820960e-11
1.478100000000000058e+01 2.185399951282196440e-11
1.490600000000000058e+01 2.218289961442021507e-11
1.503100000000000058e+01 2.079937264087838855e-11
1.517200000000000060e+01 2.116759718895355746e-11
1.529700000000000060e+01 2.217574734952876270e-11
1.542200000000000060e+01 2.252967430671493076e-11
1.556199999999999939e+01 2.180037227128561739e-11
1.568699999999999939e+01 2.217217381916825047e-11
1.581199999999999939e+01 2.086372047349627223e-11
1.593699999999999939e+01 2.155727159280917959e-11
1.607799999999999940e+01 2.121407043087497613e-11
1.621900000000000119e+01 2.097812201728999071e-11
1.634400000000000119e+01 2.109966888708125765e-11
1.646900000000000119e+01 2.136779642114561284e-11
1.660900000000000176e+01 2.036322152565439580e-11
1.675000000000000000e+01 2.174675023391969830e-11
1.687500000000000000e+01 2.063849612043977544e-11
1.700000000000000000e+01 2.050622172067306792e-11
1.714000000000000057e+01 2.074217013425805334e-11
1.726500000000000057e+01 2.069569515761315870e-11
1.739000000000000057e+01 2.195409479210930215e-11
1.753099999999999881e+01 2.102459699393488535e-11
1.765599999999999881e+01 2.116759545423008149e-11
1.778099999999999881e+01 2.224009518214664638e-11
1.792200000000000060e+01 2.044544741841569646e-11
1.804700000000000060e+01 2.103889805427083814e-11
1.817200000000000060e+01 2.078864684562642395e-11
1.829700000000000060e+01 2.107107197057977999e-11
1.843700000000000117e+01 2.047762133472463830e-11
1.857799999999999940e+01 2.095309863114902527e-11
1.870299999999999940e+01 2.272272474346248572e-11
1.882799999999999940e+01 2.155370153189561933e-11
1.896900000000000119e+01 2.175389729464072275e-11
1.909400000000000119e+01 2.101029593359893255e-11
1.923400000000000176e+01 2.157514271405869266e-11
1.935900000000000176e+01 2.095667216150953749e-11
1.950000000000000000e+01 2.216859681936078630e-11
1.962500000000000000e+01 2.109609882616769738e-11
1.975000000000000000e+01 2.122122096104295252e-11
1.989000000000000057e+01 2.126412240732733494e-11
2.001500000000000057e+01 2.081367023176738940e-11
2.014000000000000057e+01 2.241169923256070007e-11
2.028099999999999881e+01 2.249392339059852475e-11
2.040599999999999881e+01 2.149292376019129591e-11
2.054700000000000060e+01 2.126411893788038299e-11
2.067200000000000060e+01 2.056699602293043938e-11
2.079700000000000060e+01 2.097097148712201431e-11
2.093700000000000117e+01 2.008437166578502797e-11
2.106200000000000117e+01 2.212927584233082001e-11
2.118700000000000117e+01 2.205062347993003158e-11
2.132799999999999940e+01 2.034177166987394259e-11
