Start time (s) =
1547807391
'Reltime', 'DEFAU[mV]', '44.00[A]', '28.00[A]'
2.798400000000000176e+01 2.100000000000000000e+03 2.318576060311716702e-11 4.106990095231743965e-11
2.864099999999999824e+01 2.100000000000000000e+03 2.353641587182764283e-11 4.126458202913241280e-11
2.928099999999999881e+01 2.100312500000000000e+03 2.329139658918677469e-11 4.133337769274270102e-11
2.993799999999999883e+01 2.095937500000000000e+03 2.324779431461809764e-11 4.083961641088151850e-11
3.059400000000000119e+01 2.099843750000000000e+03 2.350879040047271218e-11 4.144389692539718340e-11
3.123400000000000176e+01 2.100156250000000000e+03 2.288730142907535736e-11 4.100664946493637331e-11
3.189099999999999824e+01 2.099843750000000000e+03 2.326682596587303919e-11 4.081319657234239173e-11
3.253099999999999881e+01 2.099843750000000000e+03 2.318822911462348202e-11 4.044167778438634286e-11
3.318800000000000239e+01 2.099843750000000000e+03 2.322567659029939335e-11 4.066950248793332889e-11
3.384400000000000119e+01 2.099843750000000000e+03 2.341113934656302575e-11 4.095323732911104742e-11
3.448400000000000176e+01 2.100000000000000000e+03 2.290143075178718846e-11 4.098761607895795578e-11
3.514099999999999824e+01 2.100000000000000000e+03 2.333254249531346858e-11 4.066643549682780190e-11
3.579699999999999704e+01 2.100000000000000000e+03 2.324348873095072321e-11 4.087216329273779536e-11
3.645300000000000296e+01 2.099843750000000000e+03 2.312865177156453456e-11 4.131001443696824538e-11
3.709400000000000119e+01 2.099843750000000000e+03 2.289221243123584770e-11 4.096920025453698599e-11
3.775000000000000000e+01 2.100312500000000000e+03 2.298740885142702695e-11 4.096489120142265961e-11
3.839099999999999824e+01 2.100000000000000000e+03 2.334358921440848889e-11 4.043859691549300805e-11
3.904699999999999704e+01 2.100000000000000000e+03 2.336753880671782468e-11 3.993074620955994192e-11
3.970300000000000296e+01 2.100000000000000000e+03 2.290879465294271000e-11 4.055465685492976036e-11
4.034400000000000119e+01 2.100000000000000000e+03 2.306048234312907397e-11 4.126581715224730829e-11
4.100000000000000000e+01 2.100156250000000000e+03 2.351000817635284790e-11 4.106130366277049859e-11
4.165599999999999881e+01 2.103593750000000000e+03 2.285659855827404385e-11 4.063572395240910851e-11
4.231300000000000239e+01 2.110781250000000000e+03 2.298064863404114533e-11 4.074317966340501584e-11
4.296900000000000119e+01 2.114843750000000000e+03 2.319575607978574538e-11 4.127132316456005867e-11
4.360900000000000176e+01 2.122500000000000000e+03 2.336017143611535118e-11 4.140153150866687781e-11
4.428099999999999881e+01 2.127500000000000000e+03 2.330060276667378361e-11 4.112824664170844358e-11
4.492199999999999704e+01 2.135156250000000000e+03 2.335708883249854040e-11 4.145495752228001152e-11
4.557800000000000296e+01 2.141718750000000000e+03 2.326068851421503325e-11 4.081936177957601330e-11
4.621900000000000119e+01 2.150156250000000000e+03 2.319804764949751075e-11 4.099313249961156203e-11
4.687500000000000000e+01 2.155312500000000000e+03 2.340745652862352699e-11 4.083040155977712971e-11
4.753099999999999881e+01 2.167656250000000000e+03 2.321155767592841812e-11 4.104042453101364174e-11
4.817199999999999704e+01 2.177343750000000000e+03 2.326621707793297134e-11 4.138679329801497886e-11
4.882800000000000296e+01 2.187031250000000000e+03 2.357388763363221784e-11 4.041343648619744044e-11
4.946900000000000119e+01 2.196093750000000000e+03 2.382567060310591955e-11 4.156119892684273509e-11
5.014099999999999824e+01 2.210156250000000000e+03 2.311943692046014576e-11 4.100235428960985473e-11
5.078099999999999881e+01 2.221250000000000000e+03 2.313350032367988973e-11 4.166805442351595445e-11
5.143800000000000239e+01 2.235625000000000000e+03 2.339394650219261962e-11 4.174603371320806389e-11
5.207800000000000296e+01 2.241250000000000000e+03 2.305127269619511310e-11 4.189281560540436544e-11
5.273400000000000176e+01 2.255000000000000000e+03 2.338411755897773503e-11 4.155073507483564299e-11
5.339099999999999824e+01 2.266093750000000000e+03 2.338741700302904292e-11 4.141503806565083323e-11
5.403099999999999881e+01 2.278906250000000000e+03 2.346518465645708318e-11 4.155690028206926456e-11
5.468800000000000239e+01 2.292812500000000000e+03 2.307154120528842611e-11 4.190264801806620198e-11
5.534400000000000119e+01 2.302656250000000000e+03 2.330121165461385147e-11 4.150223914534123537e-11
5.600000000000000000e+01 2.317968750000000000e+03 2.325313032403020230e-11 4.136775297314265742e-11
5.664099999999999824e+01 2.328125000000000000e+03 2.309549079759776191e-11 4.208319109855196416e-11
5.729699999999999704e+01 2.340468750000000000e+03 2.312619713784602737e-11 4.146232662760596099e-11
5.793800000000000239e+01 2.353125000000000000e+03 2.315383301754181389e-11 4.173253409511801237e-11
5.859400000000000119e+01 2.363593750000000000e+03 2.319742835321658703e-11 4.180007728837864533e-11
5.923400000000000176e+01 2.377031250000000000e+03 2.291739888138355496e-11 4.213969798105843267e-11
5.989099999999999824e+01 2.387812500000000000e+03 2.308136667905635875e-11 4.157899718970625713e-11
6.054699999999999704e+01 2.399218750000000000e+03 2.321769859703337602e-11 4.208440887443209988e-11
6.118800000000000239e+01 2.412187500000000000e+03 2.317348049563072721e-11 4.146109497393801746e-11
6.184400000000000119e+01 2.425000000000000000e+03 2.318269534673511600e-11 4.195853040012131885e-11
6.248400000000000176e+01 2.435312500000000000e+03 2.335280233078940171e-11 4.294908872992664328e-11
6.315599999999999881e+01 2.447656250000000000e+03 2.313725079583495159e-11 4.213538198905020238e-11
6.379699999999999704e+01 2.464687500000000000e+03 2.324963138677915708e-11 4.159374580869901195e-11
6.445300000000000296e+01 2.473906250000000000e+03 2.281115400737387944e-11 4.195606709278543178e-11
6.509399999999999409e+01 2.484687500000000000e+03 2.325822694160262216e-11 4.186824498209062995e-11
6.575000000000000000e+01 2.495156250000000000e+03 2.318883279839312195e-11 4.242280485233784759e-11
6.640600000000000591e+01 2.508593750000000000e+03 2.347378888489792814e-11 4.198800682142511675e-11
6.704699999999999704e+01 2.519687500000000000e+03 2.335157761601536208e-11 4.214766383126011817e-11
6.770300000000000296e+01 2.532656250000000000e+03 2.338473685525865875e-11 4.179456086772503909e-11
6.834399999999999409e+01 2.542343750000000000e+03 2.349649641519846455e-11 4.229935152144648214e-11
