Start time (s) =
1547806285
'Reltime', 'DEFAU[mV]', '44.00[A]', '28.00[A]'
6.189000000000000057e+01 2.099531250000000000e+03 2.436608553813002231e-11 4.481659141020166714e-11
6.254699999999999704e+01 2.099531250000000000e+03 2.453987880957075873e-11 4.475026946226812186e-11
6.320300000000000296e+01 2.099531250000000000e+03 2.378329477803475811e-11 4.481782306386961068e-11
6.384400000000000119e+01 2.100312500000000000e+03 2.400621194886820575e-11 4.542579853938910617e-11
6.450000000000000000e+01 2.100000000000000000e+03 2.398496505573444182e-11 4.559282118510310511e-11
6.514000000000000057e+01 2.102812500000000000e+03 2.436362570024108720e-11 4.477054144080838682e-11
6.579699999999999704e+01 2.107656250000000000e+03 2.449075664490152349e-11 4.494063454707486471e-11
6.645300000000000296e+01 2.112031250000000000e+03 2.445697984410077908e-11 4.510031584303852981e-11
6.709399999999999409e+01 2.119531250000000000e+03 2.446433854108587269e-11 4.529621469573363868e-11
6.775000000000000000e+01 2.123593750000000000e+03 2.421562776688812590e-11 4.523235605513598045e-11
6.839000000000000057e+01 2.132343750000000000e+03 2.408912305740251725e-11 4.508805134806337378e-11
6.904699999999999704e+01 2.138906250000000000e+03 2.445696423158949528e-11 4.521884602870507308e-11
6.970300000000000296e+01 2.146562500000000000e+03 2.473271067116034061e-11 4.520963811649458819e-11
7.034399999999999409e+01 2.153281250000000000e+03 2.437559702694880315e-11 4.475211173859960923e-11
7.100000000000000000e+01 2.157187500000000000e+03 2.480026253803835345e-11 4.525813751543594776e-11
7.164000000000000057e+01 2.175156250000000000e+03 2.451837691208602621e-11 4.531033881427504184e-11
7.229699999999999704e+01 2.183906250000000000e+03 2.480640519386678733e-11 4.509907725047668237e-11
7.295300000000000296e+01 2.192187500000000000e+03 2.451653983992496677e-11 4.565302649806035618e-11
7.359399999999999409e+01 2.205937500000000000e+03 2.412229617443362173e-11 4.545773479858183919e-11
7.425000000000000000e+01 2.215312500000000000e+03 2.470691706779604147e-11 4.525262109478234152e-11
7.489000000000000057e+01 2.227968750000000000e+03 2.418430733452936465e-11 4.563643907218306595e-11
7.554699999999999704e+01 2.237500000000000000e+03 2.431756879195390297e-11 4.542026477150074015e-11
7.618699999999999761e+01 2.251718750000000000e+03 2.445083024937844129e-11 4.574205250684748592e-11
7.684399999999999409e+01 2.261406250000000000e+03 2.389157621740523041e-11 4.567697262092274002e-11
7.750000000000000000e+01 2.274843750000000000e+03 2.456505485137761013e-11 4.522620125624321474e-11
7.814000000000000057e+01 2.286718750000000000e+03 2.465840379106687408e-11 4.528332916975408295e-11
7.879699999999999704e+01 2.297656250000000000e+03 2.457733669358752593e-11 4.571934844599390146e-11
7.943699999999999761e+01 2.316250000000000000e+03 2.402033780213308489e-11 4.575494150227399359e-11
8.010899999999999466e+01 2.323906250000000000e+03 2.447846612907422781e-11 4.601903580425670270e-11
8.075000000000000000e+01 2.333750000000000000e+03 2.409648869328151477e-11 4.581944199055776323e-11
8.140600000000000591e+01 2.347031250000000000e+03 2.470752595573610932e-11 4.556520438736555434e-11
8.204699999999999704e+01 2.357812500000000000e+03 2.483342004255817415e-11 4.567021760770728633e-11
8.270300000000000296e+01 2.369375000000000000e+03 2.449259198233910695e-11 4.568864037102216002e-11
8.335899999999999466e+01 2.381562500000000000e+03 2.438144304506284499e-11 4.606632089676487851e-11
8.400000000000000000e+01 2.393593750000000000e+03 2.426537616673218878e-11 4.610868284404823214e-11
8.465600000000000591e+01 2.402343750000000000e+03 2.407376381574621860e-11 4.590480426336362996e-11
8.529699999999999704e+01 2.421406250000000000e+03 2.467068389855331390e-11 4.517399995740412066e-11
8.596899999999999409e+01 2.428125000000000000e+03 2.459699111057034315e-11 4.552835539128885500e-11
8.660899999999999466e+01 2.440468750000000000e+03 2.450917420404596925e-11 4.570030812112158003e-11
8.726500000000000057e+01 2.452343750000000000e+03 2.459146428157588105e-11 4.584769369708752151e-11
8.790600000000000591e+01 2.469218750000000000e+03 2.446127328470382167e-11 4.596437119808172156e-11
8.856199999999999761e+01 2.478906250000000000e+03 2.478675424633092206e-11 4.608412262907535251e-11
8.921899999999999409e+01 2.487812500000000000e+03 2.468357636342677353e-11 4.583110627121023128e-11
8.985899999999999466e+01 2.498437500000000000e+03 2.437161063240100844e-11 4.583663310020469339e-11
9.051500000000000057e+01 2.514062500000000000e+03 2.452944271313928226e-11 4.607184425631238867e-11
9.115600000000000591e+01 2.525156250000000000e+03 2.421317139844614275e-11 4.617009552454476307e-11
9.181199999999999761e+01 2.537500000000000000e+03 2.400929108303806458e-11 4.561249294932068210e-11
9.246899999999999409e+01 2.543750000000000000e+03 2.437836391089298615e-11 4.621370647273082000e-11
9.310899999999999466e+01 2.560625000000000000e+03 2.442749821862655324e-11 4.610991102826922372e-11
9.376500000000000057e+01 2.577968750000000000e+03 2.445942753892538235e-11 4.599937791782693353e-11
9.440600000000000591e+01 2.585000000000000000e+03 2.431941800717929425e-11 4.675351078509137892e-11
9.506199999999999761e+01 2.595312500000000000e+03 2.407438484675061829e-11 4.642556478140491549e-11
9.571899999999999409e+01 2.605000000000000000e+03 2.429669139492052210e-11 4.702494296737746993e-11
